timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:42:34+08:00,RPA-app,0.60%,15.46MiB / 2GiB,0.76%,5.3MB / 7.13MB,8.19kB / 0B,8
2026-06-21T15:42:34+08:00,RPA-pgdb,0.37%,38.21MiB / 15.4GiB,0.24%,2.98MB / 3.51MB,25MB / 26.3MB,11
2026-06-21T15:42:34+08:00,RPA-redis,0.16%,10.61MiB / 15.4GiB,0.07%,185kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:34+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:34+08:00,RPA-alloy,0.75%,200.3MiB / 15.4GiB,1.27%,215kB / 1.1MB,577MB / 50.4MB,26
2026-06-21T15:42:34+08:00,RPA-loki,0.29%,121.1MiB / 15.4GiB,0.77%,1.47MB / 609kB,332MB / 33.2MB,25
2026-06-21T15:42:34+08:00,rmqbroker,3.69%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.66MB,125MB / 337MB,259
2026-06-21T15:42:34+08:00,rmqdashboard,0.06%,533.7MiB / 15.4GiB,3.39%,1.62MB / 884kB,193MB / 178MB,66
2026-06-21T15:42:34+08:00,RPA-prometheus,0.00%,320.3MiB / 15.4GiB,2.03%,270MB / 3.65MB,265MB / 106MB,26
2026-06-21T15:42:34+08:00,RPA-minio,0.02%,146.9MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 33.3MB,25
2026-06-21T15:42:34+08:00,rmqnamesrv,0.18%,264.9MiB / 15.4GiB,1.68%,2.48MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:42:34+08:00,RPA-cadvisor,2.63%,270.3MiB / 15.4GiB,1.71%,3.69MB / 270MB,158MB / 20.2MB,28
2026-06-21T15:42:34+08:00,script-k6-run-3955911fb82c,1.63%,22.44MiB / 15.4GiB,0.14%,13kB / 14kB,4.1kB / 0B,25
2026-06-21T15:42:38+08:00,script-k6-run-3955911fb82c,1.22%,22.2MiB / 15.4GiB,0.14%,35.4kB / 36kB,4.1kB / 0B,25
2026-06-21T15:42:38+08:00,RPA-app,1.12%,16.87MiB / 2GiB,0.82%,5.37MB / 7.2MB,8.19kB / 0B,8
2026-06-21T15:42:38+08:00,RPA-pgdb,0.44%,38.8MiB / 15.4GiB,0.25%,3.02MB / 3.55MB,25MB / 26.3MB,11
2026-06-21T15:42:38+08:00,RPA-redis,0.12%,10.61MiB / 15.4GiB,0.07%,185kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:38+08:00,RPA-grafana,0.17%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:38+08:00,RPA-alloy,0.43%,198.2MiB / 15.4GiB,1.26%,216kB / 1.11MB,577MB / 50.4MB,26
2026-06-21T15:42:38+08:00,RPA-loki,0.45%,121.8MiB / 15.4GiB,0.77%,1.48MB / 609kB,332MB / 33.2MB,25
2026-06-21T15:42:38+08:00,rmqbroker,3.56%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.66MB,125MB / 337MB,259
2026-06-21T15:42:38+08:00,rmqdashboard,0.15%,534MiB / 15.4GiB,3.39%,1.62MB / 884kB,193MB / 178MB,66
2026-06-21T15:42:38+08:00,RPA-prometheus,0.00%,320.4MiB / 15.4GiB,2.03%,270MB / 3.65MB,265MB / 106MB,26
2026-06-21T15:42:38+08:00,RPA-minio,0.03%,146.9MiB / 15.4GiB,0.93%,1.04MB / 686kB,184MB / 33.3MB,25
2026-06-21T15:42:38+08:00,rmqnamesrv,0.09%,264.6MiB / 15.4GiB,1.68%,2.48MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:42:38+08:00,RPA-cadvisor,1.87%,280.7MiB / 15.4GiB,1.78%,3.69MB / 270MB,158MB / 20.2MB,28
2026-06-21T15:42:41+08:00,script-k6-run-3955911fb82c,1.15%,23.91MiB / 15.4GiB,0.15%,54.6kB / 58.9kB,4.1kB / 0B,25
2026-06-21T15:42:41+08:00,RPA-app,1.05%,17MiB / 2GiB,0.83%,5.42MB / 7.25MB,8.19kB / 0B,8
2026-06-21T15:42:41+08:00,RPA-pgdb,2.50%,38.83MiB / 15.4GiB,0.25%,3.05MB / 3.57MB,25MB / 26.3MB,11
2026-06-21T15:42:41+08:00,RPA-redis,0.12%,10.61MiB / 15.4GiB,0.07%,185kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:41+08:00,RPA-grafana,0.10%,116.6MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:41+08:00,RPA-alloy,0.47%,198.5MiB / 15.4GiB,1.26%,216kB / 1.11MB,577MB / 50.4MB,26
2026-06-21T15:42:41+08:00,RPA-loki,0.51%,122.2MiB / 15.4GiB,0.78%,1.48MB / 610kB,332MB / 33.2MB,25
2026-06-21T15:42:41+08:00,rmqbroker,3.96%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.66MB,125MB / 337MB,259
2026-06-21T15:42:41+08:00,rmqdashboard,0.08%,533.7MiB / 15.4GiB,3.39%,1.62MB / 884kB,193MB / 178MB,66
2026-06-21T15:42:41+08:00,RPA-prometheus,0.02%,320.4MiB / 15.4GiB,2.03%,270MB / 3.65MB,265MB / 106MB,26
2026-06-21T15:42:41+08:00,RPA-minio,0.05%,147.1MiB / 15.4GiB,0.93%,1.04MB / 686kB,184MB / 33.3MB,25
