timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:42:53+08:00,RPA-app,0.51%,17.19MiB / 2GiB,0.84%,5.55MB / 7.39MB,8.19kB / 0B,8
2026-06-21T15:42:53+08:00,RPA-pgdb,0.01%,36.95MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:42:53+08:00,RPA-redis,0.20%,10.6MiB / 15.4GiB,0.07%,190kB / 90.7kB,10.6MB / 115kB,7
2026-06-21T15:42:53+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:53+08:00,RPA-alloy,0.31%,197.7MiB / 15.4GiB,1.25%,220kB / 1.13MB,577MB / 50.4MB,26
2026-06-21T15:42:53+08:00,RPA-loki,0.27%,121.5MiB / 15.4GiB,0.77%,1.5MB / 612kB,332MB / 33.3MB,25
2026-06-21T15:42:53+08:00,rmqbroker,4.45%,1.282GiB / 15.4GiB,8.33%,1.47MB / 2.66MB,125MB / 338MB,259
2026-06-21T15:42:53+08:00,rmqdashboard,0.12%,534MiB / 15.4GiB,3.39%,1.62MB / 884kB,193MB / 178MB,66
2026-06-21T15:42:53+08:00,RPA-prometheus,0.00%,320.4MiB / 15.4GiB,2.03%,270MB / 3.66MB,265MB / 106MB,26
2026-06-21T15:42:53+08:00,RPA-minio,0.00%,146.9MiB / 15.4GiB,0.93%,1.04MB / 686kB,184MB / 34.3MB,25
2026-06-21T15:42:53+08:00,rmqnamesrv,0.10%,264.8MiB / 15.4GiB,1.68%,2.48MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:42:53+08:00,RPA-cadvisor,2.77%,279.2MiB / 15.4GiB,1.77%,3.69MB / 270MB,158MB / 20.2MB,28
2026-06-21T15:42:53+08:00,script-k6-run-0db82efc995f,2.50%,23.94MiB / 15.4GiB,0.15%,17.5kB / 15.1kB,4.1kB / 0B,25
2026-06-21T15:42:57+08:00,script-k6-run-0db82efc995f,1.13%,23.28MiB / 15.4GiB,0.15%,37.8kB / 34.1kB,4.1kB / 0B,25
2026-06-21T15:42:57+08:00,RPA-app,0.53%,14.42MiB / 2GiB,0.70%,5.58MB / 7.44MB,8.19kB / 0B,8
2026-06-21T15:42:57+08:00,RPA-pgdb,0.00%,36.95MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:42:57+08:00,RPA-redis,0.25%,11.85MiB / 15.4GiB,0.08%,204kB / 95kB,10.6MB / 115kB,7
2026-06-21T15:42:57+08:00,RPA-grafana,0.17%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:57+08:00,RPA-alloy,0.40%,198MiB / 15.4GiB,1.26%,221kB / 1.14MB,577MB / 50.4MB,26
2026-06-21T15:42:57+08:00,RPA-loki,0.50%,122.2MiB / 15.4GiB,0.78%,1.51MB / 612kB,332MB / 33.3MB,25
2026-06-21T15:42:57+08:00,rmqbroker,3.72%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.66MB,125MB / 338MB,259
2026-06-21T15:42:57+08:00,rmqdashboard,0.06%,533.7MiB / 15.4GiB,3.39%,1.62MB / 884kB,193MB / 178MB,66
2026-06-21T15:42:57+08:00,RPA-prometheus,0.00%,320.4MiB / 15.4GiB,2.03%,270MB / 3.66MB,265MB / 106MB,26
2026-06-21T15:42:57+08:00,RPA-minio,0.02%,147.4MiB / 15.4GiB,0.94%,1.04MB / 686kB,184MB / 34.4MB,25
2026-06-21T15:42:57+08:00,rmqnamesrv,0.12%,264.9MiB / 15.4GiB,1.68%,2.48MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:42:57+08:00,RPA-cadvisor,2.60%,237.7MiB / 15.4GiB,1.51%,3.69MB / 270MB,158MB / 20.2MB,28
2026-06-21T15:43:00+08:00,script-k6-run-0db82efc995f,2.00%,24.97MiB / 15.4GiB,0.16%,56.3kB / 54.8kB,4.1kB / 0B,25
2026-06-21T15:43:00+08:00,RPA-app,0.63%,15.41MiB / 2GiB,0.75%,5.61MB / 7.47MB,8.19kB / 0B,8
2026-06-21T15:43:00+08:00,RPA-pgdb,0.00%,36.95MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:00+08:00,RPA-redis,0.21%,12.09MiB / 15.4GiB,0.08%,222kB / 101kB,10.6MB / 115kB,7
2026-06-21T15:43:00+08:00,RPA-grafana,0.19%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:00+08:00,RPA-alloy,0.41%,198.3MiB / 15.4GiB,1.26%,221kB / 1.15MB,577MB / 50.5MB,26
2026-06-21T15:43:00+08:00,RPA-loki,0.36%,122.3MiB / 15.4GiB,0.78%,1.52MB / 614kB,332MB / 33.3MB,25
2026-06-21T15:43:00+08:00,rmqbroker,4.45%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.66MB,125MB / 338MB,259
2026-06-21T15:43:00+08:00,rmqdashboard,0.08%,534.1MiB / 15.4GiB,3.39%,1.62MB / 886kB,193MB / 178MB,66
