timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:43:28+08:00,RPA-app,0.60%,15.92MiB / 2GiB,0.78%,5.8MB / 7.72MB,8.19kB / 0B,8
2026-06-21T15:43:28+08:00,RPA-pgdb,0.00%,36.95MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:28+08:00,RPA-redis,0.23%,12.08MiB / 15.4GiB,0.08%,327kB / 133kB,10.6MB / 115kB,7
2026-06-21T15:43:28+08:00,RPA-grafana,0.17%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:28+08:00,RPA-alloy,0.37%,204MiB / 15.4GiB,1.29%,226kB / 1.2MB,584MB / 50.5MB,26
2026-06-21T15:43:28+08:00,RPA-loki,0.28%,123.3MiB / 15.4GiB,0.78%,1.57MB / 618kB,332MB / 33.6MB,25
2026-06-21T15:43:28+08:00,rmqbroker,3.84%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 338MB,259
2026-06-21T15:43:28+08:00,rmqdashboard,0.07%,534.1MiB / 15.4GiB,3.39%,1.62MB / 886kB,193MB / 178MB,66
2026-06-21T15:43:28+08:00,RPA-prometheus,0.00%,320.4MiB / 15.4GiB,2.03%,271MB / 3.67MB,265MB / 106MB,26
2026-06-21T15:43:28+08:00,RPA-minio,0.04%,147.1MiB / 15.4GiB,0.93%,1.04MB / 687kB,184MB / 36.8MB,25
2026-06-21T15:43:28+08:00,rmqnamesrv,0.12%,265.4MiB / 15.4GiB,1.68%,2.49MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:43:28+08:00,RPA-cadvisor,2.26%,290.3MiB / 15.4GiB,1.84%,3.7MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:28+08:00,script-k6-run-015543d1c972,1.75%,23.93MiB / 15.4GiB,0.15%,15.3kB / 15.5kB,4.1kB / 0B,25
2026-06-21T15:43:31+08:00,script-k6-run-015543d1c972,1.15%,22.89MiB / 15.4GiB,0.15%,36.3kB / 34.4kB,4.1kB / 0B,25
2026-06-21T15:43:31+08:00,RPA-app,0.63%,16.48MiB / 2GiB,0.80%,5.83MB / 7.76MB,8.19kB / 0B,8
2026-06-21T15:43:31+08:00,RPA-pgdb,0.00%,36.95MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:31+08:00,RPA-redis,0.62%,12.71MiB / 15.4GiB,0.08%,344kB / 139kB,10.6MB / 115kB,7
2026-06-21T15:43:31+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:31+08:00,RPA-alloy,0.52%,204.5MiB / 15.4GiB,1.30%,227kB / 1.21MB,584MB / 50.5MB,26
2026-06-21T15:43:31+08:00,RPA-loki,0.42%,123.2MiB / 15.4GiB,0.78%,1.58MB / 619kB,332MB / 33.6MB,25
2026-06-21T15:43:31+08:00,rmqbroker,3.85%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 338MB,259
2026-06-21T15:43:31+08:00,rmqdashboard,0.07%,534.4MiB / 15.4GiB,3.39%,1.63MB / 888kB,193MB / 178MB,66
2026-06-21T15:43:31+08:00,RPA-prometheus,0.00%,320.5MiB / 15.4GiB,2.03%,271MB / 3.68MB,265MB / 106MB,26
2026-06-21T15:43:31+08:00,RPA-minio,0.02%,147.1MiB / 15.4GiB,0.93%,1.04MB / 687kB,184MB / 36.8MB,25
2026-06-21T15:43:31+08:00,rmqnamesrv,0.20%,265.3MiB / 15.4GiB,1.68%,2.49MB / 1.9MB,210MB / 259MB,81
