timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:43:10+08:00,RPA-app,0.62%,16.76MiB / 2GiB,0.82%,5.68MB / 7.56MB,8.19kB / 0B,8
2026-06-21T15:43:10+08:00,RPA-pgdb,0.00%,36.95MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:10+08:00,RPA-redis,0.21%,11.59MiB / 15.4GiB,0.07%,259kB / 112kB,10.6MB / 115kB,7
2026-06-21T15:43:10+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:10+08:00,RPA-alloy,0.35%,204.2MiB / 15.4GiB,1.30%,223kB / 1.17MB,584MB / 50.5MB,26
2026-06-21T15:43:10+08:00,RPA-loki,0.41%,122.9MiB / 15.4GiB,0.78%,1.54MB / 615kB,332MB / 33.5MB,25
2026-06-21T15:43:10+08:00,rmqbroker,4.15%,1.282GiB / 15.4GiB,8.33%,1.47MB / 2.67MB,125MB / 338MB,259
2026-06-21T15:43:10+08:00,rmqdashboard,0.07%,534.1MiB / 15.4GiB,3.39%,1.62MB / 886kB,193MB / 178MB,66
2026-06-21T15:43:10+08:00,RPA-prometheus,0.02%,320.6MiB / 15.4GiB,2.03%,271MB / 3.67MB,265MB / 106MB,26
2026-06-21T15:43:10+08:00,RPA-minio,0.01%,147.1MiB / 15.4GiB,0.93%,1.04MB / 687kB,184MB / 35.8MB,25
2026-06-21T15:43:10+08:00,rmqnamesrv,0.10%,265MiB / 15.4GiB,1.68%,2.49MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:43:10+08:00,RPA-cadvisor,2.40%,293.4MiB / 15.4GiB,1.86%,3.7MB / 270MB,158MB / 20.2MB,28
2026-06-21T15:43:10+08:00,script-k6-run-801d5ad917bb,1.75%,21.62MiB / 15.4GiB,0.14%,17.2kB / 16.5kB,4.1kB / 0B,21
2026-06-21T15:43:14+08:00,script-k6-run-801d5ad917bb,1.13%,22.69MiB / 15.4GiB,0.14%,37.6kB / 35.2kB,4.1kB / 0B,21
2026-06-21T15:43:14+08:00,RPA-app,0.60%,16.8MiB / 2GiB,0.82%,5.71MB / 7.6MB,8.19kB / 0B,8
2026-06-21T15:43:14+08:00,RPA-pgdb,0.00%,36.95MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:14+08:00,RPA-redis,0.21%,11.61MiB / 15.4GiB,0.07%,278kB / 118kB,10.6MB / 115kB,7
2026-06-21T15:43:14+08:00,RPA-grafana,0.18%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:14+08:00,RPA-alloy,0.93%,205.2MiB / 15.4GiB,1.30%,224kB / 1.18MB,584MB / 50.5MB,26
2026-06-21T15:43:14+08:00,RPA-loki,0.50%,123MiB / 15.4GiB,0.78%,1.55MB / 616kB,332MB / 33.5MB,25
2026-06-21T15:43:14+08:00,rmqbroker,4.04%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 338MB,259
2026-06-21T15:43:14+08:00,rmqdashboard,0.07%,534.1MiB / 15.4GiB,3.39%,1.62MB / 886kB,193MB / 178MB,66
2026-06-21T15:43:14+08:00,RPA-prometheus,4.16%,320.4MiB / 15.4GiB,2.03%,271MB / 3.67MB,265MB / 106MB,26
2026-06-21T15:43:14+08:00,RPA-minio,0.00%,147.1MiB / 15.4GiB,0.93%,1.04MB / 687kB,184MB / 35.8MB,25
2026-06-21T15:43:14+08:00,rmqnamesrv,0.13%,265.5MiB / 15.4GiB,1.68%,2.49MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:43:14+08:00,RPA-cadvisor,42.61%,273.9MiB / 15.4GiB,1.74%,3.7MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:17+08:00,script-k6-run-801d5ad917bb,1.09%,23.16MiB / 15.4GiB,0.15%,56.2kB / 56.3kB,4.1kB / 0B,21
2026-06-21T15:43:17+08:00,RPA-app,0.62%,17.38MiB / 2GiB,0.85%,5.73MB / 7.63MB,8.19kB / 0B,8
2026-06-21T15:43:17+08:00,RPA-pgdb,0.00%,37.07MiB / 15.4GiB,0.24%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:17+08:00,RPA-redis,0.27%,12.2MiB / 15.4GiB,0.08%,291kB / 122kB,10.6MB / 115kB,7
2026-06-21T15:43:17+08:00,RPA-grafana,0.13%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:17+08:00,RPA-alloy,0.42%,204.5MiB / 15.4GiB,1.30%,224kB / 1.18MB,584MB / 50.5MB,26
2026-06-21T15:43:17+08:00,RPA-loki,0.39%,123.3MiB / 15.4GiB,0.78%,1.56MB / 617kB,332MB / 33.5MB,25
2026-06-21T15:43:17+08:00,rmqbroker,4.04%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 338MB,259
2026-06-21T15:43:17+08:00,rmqdashboard,0.07%,534.1MiB / 15.4GiB,3.39%,1.62MB / 886kB,193MB / 178MB,66
2026-06-21T15:43:17+08:00,RPA-prometheus,0.00%,320.4MiB / 15.4GiB,2.03%,271MB / 3.67MB,265MB / 106MB,26
2026-06-21T15:43:17+08:00,RPA-minio,0.04%,147.1MiB / 15.4GiB,0.93%,1.04MB / 687kB,184MB / 35.8MB,25
2026-06-21T15:43:17+08:00,rmqnamesrv,0.13%,265.3MiB / 15.4GiB,1.68%,2.49MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:43:17+08:00,RPA-cadvisor,2.16%,273.1MiB / 15.4GiB,1.73%,3.7MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:20+08:00,script-k6-run-801d5ad917bb,1.24%,24.24MiB / 15.4GiB,0.15%,73.7kB / 76.5kB,4.1kB / 0B,22
2026-06-21T15:43:20+08:00,RPA-app,0.64%,17.46MiB / 2GiB,0.85%,5.75MB / 7.66MB,8.19kB / 0B,8
2026-06-21T15:43:20+08:00,RPA-pgdb,0.00%,37.04MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:20+08:00,RPA-redis,0.26%,10.84MiB / 15.4GiB,0.07%,305kB / 126kB,10.6MB / 115kB,7
2026-06-21T15:43:20+08:00,RPA-grafana,0.23%,116.6MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:20+08:00,RPA-alloy,0.42%,205.2MiB / 15.4GiB,1.30%,225kB / 1.19MB,584MB / 50.5MB,26
2026-06-21T15:43:20+08:00,RPA-loki,0.41%,124.2MiB / 15.4GiB,0.79%,1.56MB / 617kB,332MB / 33.5MB,25
2026-06-21T15:43:20+08:00,rmqbroker,4.03%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 338MB,259
2026-06-21T15:43:20+08:00,rmqdashboard,0.08%,534.1MiB / 15.4GiB,3.39%,1.62MB / 886kB,193MB / 178MB,66
2026-06-21T15:43:20+08:00,RPA-prometheus,0.50%,320.7MiB / 15.4GiB,2.03%,271MB / 3.67MB,265MB / 106MB,26
2026-06-21T15:43:20+08:00,RPA-minio,0.00%,147.1MiB / 15.4GiB,0.93%,1.04MB / 687kB,184MB / 35.8MB,25
2026-06-21T15:43:20+08:00,rmqnamesrv,0.12%,265.6MiB / 15.4GiB,1.68%,2.49MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:43:20+08:00,RPA-cadvisor,2.41%,275.3MiB / 15.4GiB,1.75%,3.7MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:23+08:00,script-k6-run-801d5ad917bb,1.19%,23.54MiB / 15.4GiB,0.15%,91.5kB / 95.1kB,4.1kB / 0B,22
2026-06-21T15:43:23+08:00,RPA-app,0.63%,15.98MiB / 2GiB,0.78%,5.78MB / 7.69MB,8.19kB / 0B,8
2026-06-21T15:43:23+08:00,RPA-pgdb,0.00%,37.04MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:23+08:00,RPA-redis,0.27%,10.87MiB / 15.4GiB,0.07%,319kB / 131kB,10.6MB / 115kB,7
2026-06-21T15:43:23+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:23+08:00,RPA-alloy,0.44%,204.7MiB / 15.4GiB,1.30%,226kB / 1.2MB,584MB / 50.5MB,26
2026-06-21T15:43:23+08:00,RPA-loki,0.44%,123.1MiB / 15.4GiB,0.78%,1.57MB / 618kB,332MB / 33.5MB,25
2026-06-21T15:43:23+08:00,rmqbroker,4.74%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 338MB,259
2026-06-21T15:43:23+08:00,rmqdashboard,0.11%,534.1MiB / 15.4GiB,3.39%,1.62MB / 886kB,193MB / 178MB,66
2026-06-21T15:43:23+08:00,RPA-prometheus,0.00%,320.4MiB / 15.4GiB,2.03%,271MB / 3.67MB,265MB / 106MB,26
2026-06-21T15:43:23+08:00,RPA-minio,0.02%,147.1MiB / 15.4GiB,0.93%,1.04MB / 687kB,184MB / 35.8MB,25
2026-06-21T15:43:23+08:00,rmqnamesrv,0.58%,265.4MiB / 15.4GiB,1.68%,2.49MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:43:23+08:00,RPA-cadvisor,2.32%,275.7MiB / 15.4GiB,1.75%,3.7MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:26+08:00,RPA-app,0.09%,14.15MiB / 2GiB,0.69%,5.79MB / 7.71MB,8.19kB / 0B,8
2026-06-21T15:43:26+08:00,RPA-pgdb,2.28%,36.96MiB / 15.4GiB,0.23%,3.14MB / 3.65MB,25MB / 26.3MB,11
2026-06-21T15:43:26+08:00,RPA-redis,0.47%,12.29MiB / 15.4GiB,0.08%,323kB / 132kB,10.6MB / 115kB,7
2026-06-21T15:43:26+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:26+08:00,RPA-alloy,0.16%,204MiB / 15.4GiB,1.29%,226kB / 1.2MB,584MB / 50.5MB,26
2026-06-21T15:43:26+08:00,RPA-loki,0.26%,122.6MiB / 15.4GiB,0.78%,1.57MB / 618kB,332MB / 33.6MB,25
2026-06-21T15:43:26+08:00,rmqbroker,3.75%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 338MB,259
2026-06-21T15:43:26+08:00,rmqdashboard,0.07%,534.1MiB / 15.4GiB,3.39%,1.62MB / 886kB,193MB / 178MB,66
2026-06-21T15:43:26+08:00,RPA-prometheus,0.02%,320.4MiB / 15.4GiB,2.03%,271MB / 3.67MB,265MB / 106MB,26
2026-06-21T15:43:26+08:00,RPA-minio,0.03%,147.1MiB / 15.4GiB,0.93%,1.04MB / 687kB,184MB / 36.3MB,25
2026-06-21T15:43:26+08:00,rmqnamesrv,0.12%,265.4MiB / 15.4GiB,1.68%,2.49MB / 1.89MB,210MB / 259MB,81
2026-06-21T15:43:26+08:00,RPA-cadvisor,2.21%,284.3MiB / 15.4GiB,1.80%,3.7MB / 271MB,158MB / 20.2MB,28
