timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:38:44+08:00,RPA-pgdb,2.57%,32.95MiB / 15.4GiB,0.21%,195kB / 161kB,24.6MB / 10.2MB,10
2026-06-21T15:38:44+08:00,RPA-redis,0.24%,10.61MiB / 15.4GiB,0.07%,99.6kB / 68.4kB,10.5MB / 8.19kB,7
2026-06-21T15:38:44+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:38:44+08:00,RPA-alloy,0.76%,158.2MiB / 15.4GiB,1.00%,174kB / 669kB,540MB / 49.7MB,26
2026-06-21T15:38:44+08:00,RPA-loki,0.31%,79.79MiB / 15.4GiB,0.51%,1.03MB / 570kB,316MB / 31.1MB,25
2026-06-21T15:38:44+08:00,rmqbroker,4.10%,1.282GiB / 15.4GiB,8.33%,1.44MB / 2.61MB,124MB / 333MB,259
2026-06-21T15:38:44+08:00,rmqdashboard,0.07%,532.6MiB / 15.4GiB,3.38%,1.58MB / 867kB,192MB / 177MB,66
2026-06-21T15:38:44+08:00,RPA-prometheus,5.75%,266MiB / 15.4GiB,1.69%,264MB / 3.57MB,247MB / 105MB,25
2026-06-21T15:38:44+08:00,RPA-minio,0.10%,112.6MiB / 15.4GiB,0.71%,494kB / 343kB,175MB / 28.8MB,25
2026-06-21T15:38:44+08:00,rmqnamesrv,0.18%,254.4MiB / 15.4GiB,1.61%,2.43MB / 1.85MB,208MB / 258MB,81
2026-06-21T15:38:44+08:00,RPA-cadvisor,1.76%,280.9MiB / 15.4GiB,1.78%,3.6MB / 264MB,158MB / 20.2MB,28
2026-06-21T15:38:44+08:00,RPA-app,0.04%,70.93MiB / 2GiB,3.46%,12kB / 10.9kB,0B / 0B,7
