timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:47:24+08:00,RPA-app,1.49%,14.43MiB / 2GiB,0.70%,15.8MB / 22MB,279kB / 0B,8
2026-06-21T15:47:24+08:00,RPA-pgdb,1.30%,36.55MiB / 15.4GiB,0.23%,5.09MB / 19.7MB,25.3MB / 43MB,10
2026-06-21T15:47:24+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:24+08:00,RPA-grafana,0.45%,117.1MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:47:24+08:00,RPA-alloy,0.87%,214.5MiB / 15.4GiB,1.36%,260kB / 1.61MB,590MB / 51.7MB,26
2026-06-21T15:47:24+08:00,RPA-loki,0.26%,133.3MiB / 15.4GiB,0.85%,2MB / 656kB,341MB / 36.1MB,25
2026-06-21T15:47:24+08:00,rmqbroker,3.80%,1.264GiB / 15.4GiB,8.21%,1.51MB / 2.72MB,125MB / 346MB,259
2026-06-21T15:47:24+08:00,rmqdashboard,0.05%,520MiB / 15.4GiB,3.30%,1.66MB / 903kB,194MB / 190MB,66
2026-06-21T15:47:24+08:00,RPA-prometheus,0.00%,328.6MiB / 15.4GiB,2.08%,276MB / 3.76MB,268MB / 108MB,26
2026-06-21T15:47:24+08:00,RPA-minio,0.02%,178.2MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 60.8MB,25
2026-06-21T15:47:24+08:00,rmqnamesrv,0.19%,264.2MiB / 15.4GiB,1.68%,2.54MB / 1.93MB,212MB / 263MB,81
2026-06-21T15:47:24+08:00,RPA-cadvisor,5.82%,289.1MiB / 15.4GiB,1.83%,3.79MB / 276MB,158MB / 20.2MB,28
2026-06-21T15:47:24+08:00,script-k6-run-276c530f97b6,1.82%,21.97MiB / 15.4GiB,0.14%,24.7kB / 19kB,4.1kB / 0B,24
2026-06-21T15:47:28+08:00,script-k6-run-276c530f97b6,2.14%,23.16MiB / 15.4GiB,0.15%,55.3kB / 42kB,4.1kB / 0B,24
2026-06-21T15:47:28+08:00,RPA-app,1.51%,13.99MiB / 2GiB,0.68%,15.8MB / 22.2MB,279kB / 0B,8
2026-06-21T15:47:28+08:00,RPA-pgdb,3.14%,37.51MiB / 15.4GiB,0.24%,5.21MB / 19.8MB,25.3MB / 44.5MB,10
2026-06-21T15:47:28+08:00,RPA-redis,0.41%,18.38MiB / 15.4GiB,0.12%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:28+08:00,RPA-grafana,0.21%,116.7MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:47:28+08:00,RPA-alloy,0.50%,213.5MiB / 15.4GiB,1.35%,261kB / 1.62MB,590MB / 51.7MB,26
2026-06-21T15:47:28+08:00,RPA-loki,2.05%,137.7MiB / 15.4GiB,0.87%,2.01MB / 657kB,343MB / 36.1MB,25
2026-06-21T15:47:28+08:00,rmqbroker,3.95%,1.265GiB / 15.4GiB,8.22%,1.51MB / 2.72MB,125MB / 346MB,259
2026-06-21T15:47:28+08:00,rmqdashboard,0.39%,520.1MiB / 15.4GiB,3.30%,1.66MB / 905kB,194MB / 190MB,66
2026-06-21T15:47:28+08:00,RPA-prometheus,0.00%,328.6MiB / 15.4GiB,2.08%,276MB / 3.76MB,268MB / 108MB,26
2026-06-21T15:47:28+08:00,RPA-minio,0.01%,178.2MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 60.8MB,25
2026-06-21T15:47:28+08:00,rmqnamesrv,0.33%,265.2MiB / 15.4GiB,1.68%,2.54MB / 1.93MB,212MB / 263MB,81
2026-06-21T15:47:28+08:00,RPA-cadvisor,1.61%,288.8MiB / 15.4GiB,1.83%,3.79MB / 276MB,158MB / 20.2MB,28
