timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:47:41+08:00,RPA-app,1.07%,13.21MiB / 2GiB,0.64%,16.1MB / 22.6MB,279kB / 0B,8
2026-06-21T15:47:41+08:00,RPA-pgdb,0.90%,37.14MiB / 15.4GiB,0.24%,5.53MB / 20MB,25.3MB / 48.6MB,10
2026-06-21T15:47:41+08:00,RPA-redis,0.11%,17.62MiB / 15.4GiB,0.11%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:41+08:00,RPA-grafana,0.15%,116.7MiB / 15.4GiB,0.74%,23.5MB / 271kB,464MB / 111MB,25
2026-06-21T15:47:41+08:00,RPA-alloy,0.40%,213.8MiB / 15.4GiB,1.36%,264kB / 1.65MB,590MB / 51.8MB,26
2026-06-21T15:47:41+08:00,RPA-loki,0.29%,135.9MiB / 15.4GiB,0.86%,2.03MB / 659kB,343MB / 36.2MB,25
2026-06-21T15:47:41+08:00,rmqbroker,4.43%,1.265GiB / 15.4GiB,8.21%,1.51MB / 2.72MB,125MB / 346MB,259
2026-06-21T15:47:41+08:00,rmqdashboard,0.06%,520.1MiB / 15.4GiB,3.30%,1.66MB / 906kB,194MB / 190MB,66
2026-06-21T15:47:41+08:00,RPA-prometheus,0.00%,328.6MiB / 15.4GiB,2.08%,277MB / 3.76MB,268MB / 108MB,26
2026-06-21T15:47:41+08:00,RPA-minio,0.07%,178.4MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 62.1MB,25
2026-06-21T15:47:41+08:00,rmqnamesrv,0.11%,264.8MiB / 15.4GiB,1.68%,2.55MB / 1.93MB,212MB / 263MB,81
2026-06-21T15:47:41+08:00,RPA-cadvisor,2.39%,285.9MiB / 15.4GiB,1.81%,3.79MB / 276MB,158MB / 20.2MB,28
2026-06-21T15:47:41+08:00,script-k6-run-d98f3a2b4457,1.66%,24.77MiB / 15.4GiB,0.16%,37.4kB / 18.3kB,4.1kB / 0B,25
2026-06-21T15:47:45+08:00,script-k6-run-d98f3a2b4457,1.41%,24.6MiB / 15.4GiB,0.16%,84kB / 40.8kB,4.1kB / 0B,25
2026-06-21T15:47:45+08:00,RPA-app,1.26%,13.29MiB / 2GiB,0.65%,16.2MB / 22.7MB,279kB / 0B,8
2026-06-21T15:47:45+08:00,RPA-pgdb,0.53%,36.61MiB / 15.4GiB,0.23%,5.59MB / 20MB,25.3MB / 48.6MB,10
2026-06-21T15:47:45+08:00,RPA-redis,0.11%,17.37MiB / 15.4GiB,0.11%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:45+08:00,RPA-grafana,0.15%,117MiB / 15.4GiB,0.74%,23.5MB / 271kB,464MB / 111MB,25
2026-06-21T15:47:45+08:00,RPA-alloy,0.46%,214.3MiB / 15.4GiB,1.36%,265kB / 1.66MB,590MB / 51.8MB,26
2026-06-21T15:47:45+08:00,RPA-loki,0.37%,136.2MiB / 15.4GiB,0.86%,2.04MB / 660kB,343MB / 36.2MB,25
2026-06-21T15:47:45+08:00,rmqbroker,4.03%,1.264GiB / 15.4GiB,8.21%,1.51MB / 2.72MB,125MB / 346MB,259
2026-06-21T15:47:45+08:00,rmqdashboard,0.06%,520.1MiB / 15.4GiB,3.30%,1.66MB / 906kB,194MB / 190MB,66
2026-06-21T15:47:45+08:00,RPA-prometheus,0.13%,347.9MiB / 15.4GiB,2.21%,277MB / 3.77MB,268MB / 108MB,26
2026-06-21T15:47:45+08:00,RPA-minio,0.02%,178.2MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 62.1MB,25
2026-06-21T15:47:45+08:00,rmqnamesrv,0.11%,264.6MiB / 15.4GiB,1.68%,2.55MB / 1.93MB,212MB / 263MB,81
2026-06-21T15:47:45+08:00,RPA-cadvisor,36.92%,264.8MiB / 15.4GiB,1.68%,3.8MB / 277MB,158MB / 20.2MB,28
2026-06-21T15:47:48+08:00,script-k6-run-d98f3a2b4457,1.14%,24.37MiB / 15.4GiB,0.15%,129kB / 59.7kB,4.1kB / 0B,25
2026-06-21T15:47:48+08:00,RPA-app,1.00%,14.07MiB / 2GiB,0.69%,16.3MB / 22.8MB,279kB / 0B,8
2026-06-21T15:47:48+08:00,RPA-pgdb,2.21%,37.46MiB / 15.4GiB,0.24%,5.63MB / 20.1MB,25.3MB / 48.6MB,10
2026-06-21T15:47:48+08:00,RPA-redis,0.40%,17.88MiB / 15.4GiB,0.11%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:48+08:00,RPA-grafana,0.16%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:47:48+08:00,RPA-alloy,0.44%,213.8MiB / 15.4GiB,1.36%,265kB / 1.66MB,590MB / 51.8MB,26
2026-06-21T15:47:48+08:00,RPA-loki,0.51%,137MiB / 15.4GiB,0.87%,2.05MB / 660kB,343MB / 36.2MB,25
2026-06-21T15:47:48+08:00,rmqbroker,3.87%,1.265GiB / 15.4GiB,8.22%,1.51MB / 2.72MB,125MB / 346MB,259
2026-06-21T15:47:48+08:00,rmqdashboard,0.13%,520.1MiB / 15.4GiB,3.30%,1.66MB / 906kB,194MB / 190MB,66
2026-06-21T15:47:48+08:00,RPA-prometheus,0.00%,347.5MiB / 15.4GiB,2.20%,277MB / 3.77MB,268MB / 108MB,26
2026-06-21T15:47:48+08:00,RPA-minio,0.00%,178.2MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 62.1MB,25
2026-06-21T15:47:48+08:00,rmqnamesrv,0.19%,265.1MiB / 15.4GiB,1.68%,2.55MB / 1.93MB,212MB / 263MB,81
2026-06-21T15:47:48+08:00,RPA-cadvisor,1.84%,275.9MiB / 15.4GiB,1.75%,3.8MB / 277MB,158MB / 20.2MB,28
2026-06-21T15:47:51+08:00,script-k6-run-d98f3a2b4457,1.28%,24.61MiB / 15.4GiB,0.16%,174kB / 80.8kB,4.1kB / 0B,25
2026-06-21T15:47:51+08:00,RPA-app,1.16%,15.04MiB / 2GiB,0.73%,16.4MB / 22.9MB,279kB / 0B,8
2026-06-21T15:47:51+08:00,RPA-pgdb,0.52%,37.37MiB / 15.4GiB,0.24%,5.68MB / 20.2MB,25.3MB / 48.6MB,10
2026-06-21T15:47:51+08:00,RPA-redis,0.11%,17.62MiB / 15.4GiB,0.11%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:51+08:00,RPA-grafana,0.13%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:47:51+08:00,RPA-alloy,0.43%,214.3MiB / 15.4GiB,1.36%,266kB / 1.67MB,590MB / 51.8MB,26
2026-06-21T15:47:51+08:00,RPA-loki,0.38%,136.3MiB / 15.4GiB,0.86%,2.06MB / 661kB,343MB / 36.2MB,25
2026-06-21T15:47:51+08:00,rmqbroker,4.22%,1.265GiB / 15.4GiB,8.21%,1.51MB / 2.72MB,125MB / 347MB,259
2026-06-21T15:47:51+08:00,rmqdashboard,0.07%,520.1MiB / 15.4GiB,3.30%,1.66MB / 906kB,194MB / 190MB,66
2026-06-21T15:47:51+08:00,RPA-prometheus,0.00%,347.7MiB / 15.4GiB,2.21%,277MB / 3.77MB,268MB / 108MB,26
2026-06-21T15:47:51+08:00,RPA-minio,0.02%,178.2MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 62.1MB,25
2026-06-21T15:47:51+08:00,rmqnamesrv,0.14%,264.9MiB / 15.4GiB,1.68%,2.55MB / 1.93MB,212MB / 263MB,81
2026-06-21T15:47:51+08:00,RPA-cadvisor,2.12%,279.8MiB / 15.4GiB,1.77%,3.8MB / 277MB,158MB / 20.2MB,28
2026-06-21T15:47:54+08:00,script-k6-run-d98f3a2b4457,1.08%,24.67MiB / 15.4GiB,0.16%,218kB / 99.6kB,4.1kB / 0B,25
2026-06-21T15:47:54+08:00,RPA-app,1.00%,13.78MiB / 2GiB,0.67%,16.5MB / 23MB,279kB / 0B,8
2026-06-21T15:47:54+08:00,RPA-pgdb,0.44%,37.5MiB / 15.4GiB,0.24%,5.72MB / 20.2MB,25.3MB / 48.6MB,10
2026-06-21T15:47:54+08:00,RPA-redis,0.11%,17.63MiB / 15.4GiB,0.11%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:54+08:00,RPA-grafana,0.16%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:47:54+08:00,RPA-alloy,0.77%,214.5MiB / 15.4GiB,1.36%,266kB / 1.67MB,590MB / 51.8MB,26
2026-06-21T15:47:54+08:00,RPA-loki,0.37%,136.5MiB / 15.4GiB,0.87%,2.06MB / 661kB,343MB / 36.2MB,25
2026-06-21T15:47:54+08:00,rmqbroker,3.97%,1.265GiB / 15.4GiB,8.21%,1.51MB / 2.72MB,125MB / 347MB,259
2026-06-21T15:47:54+08:00,rmqdashboard,0.07%,520.1MiB / 15.4GiB,3.30%,1.66MB / 906kB,194MB / 190MB,66
2026-06-21T15:47:54+08:00,RPA-prometheus,0.00%,347.5MiB / 15.4GiB,2.20%,277MB / 3.77MB,268MB / 108MB,26
2026-06-21T15:47:54+08:00,RPA-minio,0.00%,178.2MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 62.1MB,25
2026-06-21T15:47:54+08:00,rmqnamesrv,0.12%,264.4MiB / 15.4GiB,1.68%,2.55MB / 1.93MB,212MB / 263MB,81
2026-06-21T15:47:54+08:00,RPA-cadvisor,1.69%,280MiB / 15.4GiB,1.78%,3.8MB / 277MB,158MB / 20.2MB,28
2026-06-21T15:47:57+08:00,RPA-app,0.34%,14.16MiB / 2GiB,0.69%,16.5MB / 23MB,279kB / 0B,8
2026-06-21T15:47:57+08:00,RPA-pgdb,0.17%,37.27MiB / 15.4GiB,0.24%,5.74MB / 20.2MB,25.3MB / 48.6MB,10
2026-06-21T15:47:57+08:00,RPA-redis,0.10%,17.62MiB / 15.4GiB,0.11%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:57+08:00,RPA-grafana,0.20%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:47:57+08:00,RPA-alloy,0.21%,213.5MiB / 15.4GiB,1.35%,267kB / 1.68MB,590MB / 51.8MB,26
2026-06-21T15:47:57+08:00,RPA-loki,0.27%,135.7MiB / 15.4GiB,0.86%,2.07MB / 662kB,343MB / 36.4MB,25
2026-06-21T15:47:57+08:00,rmqbroker,4.31%,1.265GiB / 15.4GiB,8.22%,1.51MB / 2.73MB,125MB / 347MB,259
2026-06-21T15:47:57+08:00,rmqdashboard,0.27%,520.3MiB / 15.4GiB,3.30%,1.67MB / 906kB,194MB / 190MB,66
2026-06-21T15:47:57+08:00,RPA-prometheus,0.00%,347.4MiB / 15.4GiB,2.20%,277MB / 3.77MB,268MB / 108MB,26
2026-06-21T15:47:57+08:00,RPA-minio,0.01%,180MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,184MB / 63.3MB,25
2026-06-21T15:47:57+08:00,rmqnamesrv,0.16%,264.9MiB / 15.4GiB,1.68%,2.55MB / 1.93MB,212MB / 263MB,81
2026-06-21T15:47:57+08:00,RPA-cadvisor,5.35%,235.8MiB / 15.4GiB,1.50%,3.8MB / 277MB,158MB / 20.2MB,28
2026-06-21T15:47:57+08:00,script-k6-run-82c96522bf19,1.95%,21.48MiB / 15.4GiB,0.14%,10.4kB / 13.4kB,4.1kB / 0B,25
