timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:47:59+08:00,RPA-app,1.39%,13.73MiB / 2GiB,0.67%,16.5MB / 23MB,279kB / 0B,8
2026-06-21T15:47:59+08:00,RPA-pgdb,2.67%,36.59MiB / 15.4GiB,0.23%,5.76MB / 20.3MB,25.3MB / 48.8MB,10
2026-06-21T15:47:59+08:00,RPA-redis,0.55%,17.62MiB / 15.4GiB,0.11%,717kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:59+08:00,RPA-grafana,0.11%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:47:59+08:00,RPA-alloy,1.19%,215.3MiB / 15.4GiB,1.37%,267kB / 1.68MB,590MB / 51.8MB,26
2026-06-21T15:47:59+08:00,RPA-loki,0.65%,136MiB / 15.4GiB,0.86%,2.07MB / 663kB,343MB / 36.4MB,25
2026-06-21T15:47:59+08:00,rmqbroker,3.80%,1.265GiB / 15.4GiB,8.22%,1.52MB / 2.73MB,125MB / 347MB,259
2026-06-21T15:47:59+08:00,rmqdashboard,0.25%,521.3MiB / 15.4GiB,3.31%,1.67MB / 907kB,194MB / 190MB,66
2026-06-21T15:47:59+08:00,RPA-prometheus,3.88%,347.5MiB / 15.4GiB,2.20%,278MB / 3.77MB,268MB / 108MB,26
2026-06-21T15:47:59+08:00,RPA-minio,0.08%,180.1MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,184MB / 63.3MB,25
2026-06-21T15:47:59+08:00,rmqnamesrv,0.26%,264.4MiB / 15.4GiB,1.68%,2.55MB / 1.94MB,212MB / 263MB,81
2026-06-21T15:47:59+08:00,RPA-cadvisor,39.92%,267MiB / 15.4GiB,1.69%,3.8MB / 277MB,158MB / 20.2MB,28
2026-06-21T15:47:59+08:00,script-k6-run-82c96522bf19,1.95%,21.48MiB / 15.4GiB,0.14%,10.4kB / 13.4kB,4.1kB / 0B,25
2026-06-21T15:48:02+08:00,script-k6-run-82c96522bf19,1.29%,22.83MiB / 15.4GiB,0.14%,26.8kB / 32.8kB,4.1kB / 0B,25
2026-06-21T15:48:02+08:00,RPA-app,1.19%,14.06MiB / 2GiB,0.69%,16.6MB / 23.1MB,279kB / 0B,8
2026-06-21T15:48:02+08:00,RPA-pgdb,1.44%,36.97MiB / 15.4GiB,0.23%,5.81MB / 20.3MB,25.3MB / 49.4MB,10
2026-06-21T15:48:02+08:00,RPA-redis,0.11%,17.62MiB / 15.4GiB,0.11%,718kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:02+08:00,RPA-grafana,0.13%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:02+08:00,RPA-alloy,0.45%,213.5MiB / 15.4GiB,1.35%,268kB / 1.69MB,590MB / 51.8MB,26
