timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:47:07+08:00,RPA-app,1.39%,14.42MiB / 2GiB,0.70%,2.38MB / 2.93MB,279kB / 0B,8
2026-06-21T15:47:07+08:00,RPA-pgdb,0.66%,37.27MiB / 15.4GiB,0.24%,4.92MB / 6.56MB,25.3MB / 42.5MB,10
2026-06-21T15:47:07+08:00,RPA-redis,0.15%,17.62MiB / 15.4GiB,0.11%,716kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:07+08:00,RPA-grafana,0.08%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:47:07+08:00,RPA-alloy,0.35%,213.5MiB / 15.4GiB,1.35%,257kB / 1.58MB,590MB / 51.7MB,26
2026-06-21T15:47:07+08:00,RPA-loki,0.39%,132.9MiB / 15.4GiB,0.84%,1.97MB / 653kB,341MB / 35.9MB,25
2026-06-21T15:47:07+08:00,rmqbroker,3.81%,1.264GiB / 15.4GiB,8.21%,1.51MB / 2.71MB,125MB / 346MB,259
2026-06-21T15:47:07+08:00,rmqdashboard,0.06%,519.9MiB / 15.4GiB,3.30%,1.66MB / 903kB,194MB / 190MB,66
2026-06-21T15:47:07+08:00,RPA-prometheus,0.00%,328.5MiB / 15.4GiB,2.08%,276MB / 3.75MB,268MB / 107MB,26
2026-06-21T15:47:07+08:00,RPA-minio,0.03%,178.2MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 59.6MB,25
2026-06-21T15:47:07+08:00,rmqnamesrv,0.12%,263.8MiB / 15.4GiB,1.67%,2.54MB / 1.93MB,211MB / 263MB,81
2026-06-21T15:47:07+08:00,RPA-cadvisor,2.93%,277.4MiB / 15.4GiB,1.76%,3.78MB / 276MB,158MB / 20.2MB,28
2026-06-21T15:47:07+08:00,script-k6-run-3a7d2ca6b7af,1.99%,23.64MiB / 15.4GiB,0.15%,2.03MB / 24.5kB,4.1kB / 0B,25
2026-06-21T15:47:11+08:00,script-k6-run-3a7d2ca6b7af,1.32%,27.9MiB / 15.4GiB,0.18%,6.02MB / 65.5kB,4.1kB / 0B,25
2026-06-21T15:47:11+08:00,RPA-app,1.88%,15.03MiB / 2GiB,0.73%,6.12MB / 8.26MB,279kB / 0B,8
2026-06-21T15:47:11+08:00,RPA-pgdb,0.75%,36.38MiB / 15.4GiB,0.23%,4.97MB / 10.3MB,25.3MB / 42.5MB,10
2026-06-21T15:47:11+08:00,RPA-redis,0.14%,17.62MiB / 15.4GiB,0.11%,716kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:11+08:00,RPA-grafana,0.13%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
