timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:45:55+08:00,RPA-app,12.51%,104.6MiB / 2GiB,5.11%,213kB / 240kB,0B / 0B,8
2026-06-21T15:45:55+08:00,RPA-pgdb,0.17%,35.66MiB / 15.4GiB,0.23%,4.26MB / 5.32MB,25.3MB / 37.1MB,10
2026-06-21T15:45:55+08:00,RPA-redis,0.20%,17.86MiB / 15.4GiB,0.11%,694kB / 230kB,18MB / 496kB,7
2026-06-21T15:45:55+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:45:55+08:00,RPA-alloy,0.14%,205.1MiB / 15.4GiB,1.30%,245kB / 1.42MB,584MB / 50.9MB,26
2026-06-21T15:45:55+08:00,RPA-loki,0.34%,130.4MiB / 15.4GiB,0.83%,1.8MB / 636kB,332MB / 35.2MB,25
2026-06-21T15:45:55+08:00,rmqbroker,3.64%,1.283GiB / 15.4GiB,8.33%,1.5MB / 2.7MB,125MB / 341MB,259
2026-06-21T15:45:55+08:00,rmqdashboard,0.06%,534.5MiB / 15.4GiB,3.39%,1.65MB / 897kB,193MB / 179MB,66
2026-06-21T15:45:55+08:00,RPA-prometheus,0.00%,325.2MiB / 15.4GiB,2.06%,274MB / 3.72MB,268MB / 107MB,26
2026-06-21T15:45:55+08:00,RPA-minio,0.00%,158.8MiB / 15.4GiB,1.01%,1.38MB / 882kB,184MB / 52.3MB,25
2026-06-21T15:45:55+08:00,rmqnamesrv,0.11%,266.4MiB / 15.4GiB,1.69%,2.52MB / 1.92MB,211MB / 260MB,81
2026-06-21T15:45:55+08:00,RPA-cadvisor,3.13%,279.5MiB / 15.4GiB,1.77%,3.75MB / 274MB,158MB / 20.2MB,28
2026-06-21T15:45:55+08:00,script-k6-run-55afcde02f6c,2.73%,24.08MiB / 15.4GiB,0.15%,23kB / 14.5kB,0B / 0B,25
2026-06-21T15:45:59+08:00,script-k6-run-55afcde02f6c,1.18%,22.31MiB / 15.4GiB,0.14%,56.2kB / 38.9kB,0B / 0B,25
2026-06-21T15:45:59+08:00,RPA-app,9.25%,102.8MiB / 2GiB,5.02%,262kB / 298kB,0B / 0B,8
2026-06-21T15:45:59+08:00,RPA-pgdb,0.07%,35.1MiB / 15.4GiB,0.22%,4.26MB / 5.33MB,25.3MB / 37.1MB,10
2026-06-21T15:45:59+08:00,RPA-redis,0.17%,17.62MiB / 15.4GiB,0.11%,700kB / 232kB,18.1MB / 516kB,7
2026-06-21T15:45:59+08:00,RPA-grafana,0.20%,116.6MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:45:59+08:00,RPA-alloy,1.10%,207MiB / 15.4GiB,1.31%,245kB / 1.42MB,584MB / 51MB,26
2026-06-21T15:45:59+08:00,RPA-loki,1.67%,121.4MiB / 15.4GiB,0.77%,1.8MB / 637kB,332MB / 35.2MB,25
2026-06-21T15:45:59+08:00,rmqbroker,4.52%,1.283GiB / 15.4GiB,8.33%,1.5MB / 2.7MB,125MB / 341MB,259
2026-06-21T15:45:59+08:00,rmqdashboard,0.17%,535MiB / 15.4GiB,3.39%,1.65MB / 898kB,193MB / 179MB,66
2026-06-21T15:45:59+08:00,RPA-prometheus,3.90%,326MiB / 15.4GiB,2.07%,275MB / 3.73MB,268MB / 107MB,26
