timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:48:51+08:00,RPA-app,0.50%,14.16MiB / 2GiB,0.69%,18.1MB / 25.4MB,279kB / 0B,8
2026-06-21T15:48:51+08:00,RPA-pgdb,0.13%,36.99MiB / 15.4GiB,0.23%,6.44MB / 21.5MB,25.3MB / 51.2MB,10
2026-06-21T15:48:51+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,719kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:51+08:00,RPA-grafana,0.13%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:51+08:00,RPA-alloy,0.32%,214.4MiB / 15.4GiB,1.36%,277kB / 1.78MB,590MB / 52MB,26
2026-06-21T15:48:51+08:00,RPA-loki,0.37%,136.3MiB / 15.4GiB,0.86%,2.17MB / 671kB,343MB / 36.8MB,25
2026-06-21T15:48:51+08:00,rmqbroker,3.86%,1.264GiB / 15.4GiB,8.21%,1.52MB / 2.74MB,125MB / 348MB,259
2026-06-21T15:48:51+08:00,rmqdashboard,0.08%,521.7MiB / 15.4GiB,3.31%,1.67MB / 910kB,196MB / 190MB,66
2026-06-21T15:48:51+08:00,RPA-prometheus,0.01%,361MiB / 15.4GiB,2.29%,279MB / 3.79MB,268MB / 108MB,26
2026-06-21T15:48:51+08:00,RPA-minio,0.00%,180.2MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,184MB / 67.1MB,25
2026-06-21T15:48:51+08:00,rmqnamesrv,0.11%,264.9MiB / 15.4GiB,1.68%,2.56MB / 1.94MB,212MB / 264MB,81
2026-06-21T15:48:51+08:00,RPA-cadvisor,2.39%,275.2MiB / 15.4GiB,1.75%,3.82MB / 278MB,158MB / 20.2MB,28
2026-06-21T15:48:51+08:00,script-k6-run-bb7733dd38b5,1.86%,22.59MiB / 15.4GiB,0.14%,63.7kB / 12.8kB,4.1kB / 0B,23
2026-06-21T15:48:54+08:00,script-k6-run-bb7733dd38b5,1.95%,23.03MiB / 15.4GiB,0.15%,148kB / 25.8kB,4.1kB / 0B,23
2026-06-21T15:48:54+08:00,RPA-app,0.79%,13.82MiB / 2GiB,0.67%,18.2MB / 25.6MB,279kB / 0B,8
2026-06-21T15:48:54+08:00,RPA-pgdb,0.21%,36.83MiB / 15.4GiB,0.23%,6.46MB / 21.6MB,25.3MB / 51.2MB,10
2026-06-21T15:48:54+08:00,RPA-redis,0.15%,17.62MiB / 15.4GiB,0.11%,719kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:54+08:00,RPA-grafana,0.13%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:54+08:00,RPA-alloy,0.91%,216.1MiB / 15.4GiB,1.37%,278kB / 1.79MB,590MB / 52MB,26
2026-06-21T15:48:54+08:00,RPA-loki,0.41%,136.8MiB / 15.4GiB,0.87%,2.18MB / 672kB,343MB / 36.8MB,25
2026-06-21T15:48:54+08:00,rmqbroker,3.66%,1.264GiB / 15.4GiB,8.21%,1.52MB / 2.74MB,125MB / 348MB,259
2026-06-21T15:48:54+08:00,rmqdashboard,0.07%,521.7MiB / 15.4GiB,3.31%,1.67MB / 910kB,196MB / 190MB,66
2026-06-21T15:48:54+08:00,RPA-prometheus,0.00%,361MiB / 15.4GiB,2.29%,279MB / 3.79MB,268MB / 108MB,26
2026-06-21T15:48:54+08:00,RPA-minio,0.00%,180.2MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,184MB / 67.1MB,25
2026-06-21T15:48:54+08:00,rmqnamesrv,0.12%,265.2MiB / 15.4GiB,1.68%,2.56MB / 1.94MB,212MB / 264MB,81
2026-06-21T15:48:54+08:00,RPA-cadvisor,1.97%,238MiB / 15.4GiB,1.51%,3.82MB / 278MB,158MB / 20.2MB,28
2026-06-21T15:48:58+08:00,script-k6-run-bb7733dd38b5,1.13%,23.34MiB / 15.4GiB,0.15%,307kB / 51.1kB,4.1kB / 0B,23
2026-06-21T15:48:58+08:00,RPA-app,0.85%,14.56MiB / 2GiB,0.71%,18.3MB / 25.7MB,279kB / 0B,8
2026-06-21T15:48:58+08:00,RPA-pgdb,0.23%,37.03MiB / 15.4GiB,0.23%,6.48MB / 21.7MB,25.3MB / 51.2MB,10
2026-06-21T15:48:58+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,719kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:58+08:00,RPA-grafana,0.20%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:58+08:00,RPA-alloy,0.48%,214.9MiB / 15.4GiB,1.36%,278kB / 1.79MB,590MB / 52MB,26
2026-06-21T15:48:58+08:00,RPA-loki,0.37%,136MiB / 15.4GiB,0.86%,2.18MB / 673kB,343MB / 36.8MB,25
2026-06-21T15:48:58+08:00,rmqbroker,4.83%,1.265GiB / 15.4GiB,8.22%,1.52MB / 2.74MB,125MB / 348MB,259
2026-06-21T15:48:58+08:00,rmqdashboard,0.64%,522.7MiB / 15.4GiB,3.32%,1.68MB / 910kB,196MB / 190MB,66
2026-06-21T15:48:58+08:00,RPA-prometheus,0.00%,361MiB / 15.4GiB,2.29%,279MB / 3.79MB,268MB / 108MB,26
2026-06-21T15:48:58+08:00,RPA-minio,2.87%,181.9MiB / 15.4GiB,1.15%,1.92MB / 1.23MB,185MB / 67.2MB,25
2026-06-21T15:48:58+08:00,rmqnamesrv,0.15%,266.5MiB / 15.4GiB,1.69%,2.56MB / 1.94MB,212MB / 264MB,81
2026-06-21T15:48:58+08:00,RPA-cadvisor,3.01%,237.5MiB / 15.4GiB,1.51%,3.82MB / 278MB,158MB / 20.2MB,28
2026-06-21T15:49:01+08:00,script-k6-run-bb7733dd38b5,1.15%,25.27MiB / 15.4GiB,0.16%,427kB / 70.5kB,4.1kB / 0B,23
2026-06-21T15:49:01+08:00,RPA-app,0.78%,14.55MiB / 2GiB,0.71%,18.4MB / 25.8MB,279kB / 0B,8
2026-06-21T15:49:01+08:00,RPA-pgdb,0.23%,37.25MiB / 15.4GiB,0.24%,6.49MB / 21.7MB,25.3MB / 51.2MB,10
2026-06-21T15:49:01+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,719kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:49:01+08:00,RPA-grafana,0.15%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:49:01+08:00,RPA-alloy,0.47%,215.4MiB / 15.4GiB,1.37%,279kB / 1.8MB,590MB / 52MB,26
2026-06-21T15:49:01+08:00,RPA-loki,0.47%,136.5MiB / 15.4GiB,0.87%,2.19MB / 674kB,343MB / 36.8MB,25
2026-06-21T15:49:01+08:00,rmqbroker,3.89%,1.264GiB / 15.4GiB,8.21%,1.52MB / 2.74MB,125MB / 348MB,259
2026-06-21T15:49:01+08:00,rmqdashboard,0.06%,522.1MiB / 15.4GiB,3.31%,1.68MB / 911kB,196MB / 190MB,66
2026-06-21T15:49:01+08:00,RPA-prometheus,0.06%,374.6MiB / 15.4GiB,2.38%,279MB / 3.8MB,268MB / 108MB,26
2026-06-21T15:49:01+08:00,RPA-minio,0.00%,180.5MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,185MB / 67.2MB,25
2026-06-21T15:49:01+08:00,rmqnamesrv,0.11%,265.3MiB / 15.4GiB,1.68%,2.56MB / 1.94MB,212MB / 264MB,81
2026-06-21T15:49:01+08:00,RPA-cadvisor,4.83%,264.9MiB / 15.4GiB,1.68%,3.82MB / 279MB,158MB / 20.2MB,28
2026-06-21T15:49:04+08:00,script-k6-run-bb7733dd38b5,1.13%,24.69MiB / 15.4GiB,0.16%,546kB / 87.6kB,4.1kB / 0B,23
2026-06-21T15:49:04+08:00,RPA-app,0.85%,15.34MiB / 2GiB,0.75%,18.5MB / 26MB,279kB / 0B,8
2026-06-21T15:49:04+08:00,RPA-pgdb,2.37%,37.83MiB / 15.4GiB,0.24%,6.5MB / 21.8MB,25.3MB / 51.2MB,10
2026-06-21T15:49:04+08:00,RPA-redis,0.42%,17.88MiB / 15.4GiB,0.11%,719kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:49:04+08:00,RPA-grafana,0.11%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:49:04+08:00,RPA-alloy,1.02%,217.1MiB / 15.4GiB,1.38%,279kB / 1.81MB,590MB / 52MB,26
2026-06-21T15:49:04+08:00,RPA-loki,0.43%,136.1MiB / 15.4GiB,0.86%,2.2MB / 675kB,343MB / 36.8MB,25
2026-06-21T15:49:04+08:00,rmqbroker,4.78%,1.265GiB / 15.4GiB,8.21%,1.52MB / 2.74MB,125MB / 348MB,259
2026-06-21T15:49:04+08:00,rmqdashboard,0.07%,522.1MiB / 15.4GiB,3.31%,1.68MB / 911kB,196MB / 190MB,66
2026-06-21T15:49:04+08:00,RPA-prometheus,0.00%,374.4MiB / 15.4GiB,2.38%,279MB / 3.8MB,268MB / 108MB,26
2026-06-21T15:49:04+08:00,RPA-minio,0.02%,180.5MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,185MB / 67.2MB,25
2026-06-21T15:49:04+08:00,rmqnamesrv,0.17%,266.3MiB / 15.4GiB,1.69%,2.56MB / 1.94MB,212MB / 264MB,81
2026-06-21T15:49:04+08:00,RPA-cadvisor,5.04%,280.2MiB / 15.4GiB,1.78%,3.82MB / 279MB,158MB / 20.2MB,28
2026-06-21T15:49:07+08:00,RPA-app,0.09%,13.05MiB / 2GiB,0.64%,18.5MB / 26MB,279kB / 0B,8
2026-06-21T15:49:07+08:00,RPA-pgdb,0.00%,36MiB / 15.4GiB,0.23%,6.51MB / 21.8MB,25.3MB / 51.2MB,10
2026-06-21T15:49:07+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,719kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:49:07+08:00,RPA-grafana,0.13%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:49:07+08:00,RPA-alloy,0.20%,214.4MiB / 15.4GiB,1.36%,280kB / 1.81MB,590MB / 52MB,26
2026-06-21T15:49:07+08:00,RPA-loki,0.35%,136.6MiB / 15.4GiB,0.87%,2.2MB / 675kB,343MB / 37MB,25
2026-06-21T15:49:07+08:00,rmqbroker,3.74%,1.265GiB / 15.4GiB,8.21%,1.52MB / 2.74MB,125MB / 348MB,259
2026-06-21T15:49:07+08:00,rmqdashboard,0.07%,522.1MiB / 15.4GiB,3.31%,1.68MB / 911kB,196MB / 190MB,66
2026-06-21T15:49:07+08:00,RPA-prometheus,0.01%,374.4MiB / 15.4GiB,2.38%,279MB / 3.8MB,268MB / 108MB,26
2026-06-21T15:49:07+08:00,RPA-minio,0.03%,180.5MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,185MB / 67.9MB,25
2026-06-21T15:49:07+08:00,rmqnamesrv,0.13%,265.1MiB / 15.4GiB,1.68%,2.56MB / 1.94MB,212MB / 264MB,81
2026-06-21T15:49:07+08:00,RPA-cadvisor,2.00%,279.5MiB / 15.4GiB,1.77%,3.82MB / 279MB,158MB / 20.2MB,28
