timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:46:50+08:00,RPA-app,1.61%,14.14MiB / 2GiB,0.69%,1.07MB / 1.23MB,279kB / 0B,8
2026-06-21T15:46:50+08:00,RPA-pgdb,0.44%,37.46MiB / 15.4GiB,0.24%,4.67MB / 5.81MB,25.3MB / 39.9MB,10
2026-06-21T15:46:50+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,716kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:46:50+08:00,RPA-grafana,0.13%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:46:50+08:00,RPA-alloy,0.94%,208.5MiB / 15.4GiB,1.32%,254kB / 1.53MB,584MB / 51.6MB,26
2026-06-21T15:46:50+08:00,RPA-loki,0.31%,131.9MiB / 15.4GiB,0.84%,1.92MB / 649kB,341MB / 35.8MB,25
2026-06-21T15:46:50+08:00,rmqbroker,4.36%,1.264GiB / 15.4GiB,8.21%,1.51MB / 2.71MB,125MB / 345MB,259
2026-06-21T15:46:50+08:00,rmqdashboard,0.07%,520.2MiB / 15.4GiB,3.30%,1.65MB / 901kB,194MB / 190MB,66
2026-06-21T15:46:50+08:00,RPA-prometheus,0.34%,328.9MiB / 15.4GiB,2.09%,276MB / 3.75MB,268MB / 107MB,26
2026-06-21T15:46:50+08:00,RPA-minio,1.97%,145.3MiB / 15.4GiB,0.92%,1.4MB / 897kB,184MB / 56.8MB,25
2026-06-21T15:46:50+08:00,rmqnamesrv,0.13%,263.6MiB / 15.4GiB,1.67%,2.54MB / 1.92MB,211MB / 263MB,81
2026-06-21T15:46:50+08:00,RPA-cadvisor,2.77%,278.2MiB / 15.4GiB,1.76%,3.77MB / 275MB,158MB / 20.2MB,28
2026-06-21T15:46:50+08:00,script-k6-run-8385f950a0ee,1.96%,23.86MiB / 15.4GiB,0.15%,25.3kB / 26.3kB,4.1kB / 0B,25
2026-06-21T15:46:53+08:00,script-k6-run-8385f950a0ee,1.29%,24.25MiB / 15.4GiB,0.15%,74.2kB / 72.5kB,4.1kB / 0B,25
2026-06-21T15:46:53+08:00,RPA-app,2.61%,13.2MiB / 2GiB,0.64%,1.29MB / 1.5MB,279kB / 0B,8
2026-06-21T15:46:53+08:00,RPA-pgdb,0.80%,36.86MiB / 15.4GiB,0.23%,4.74MB / 5.88MB,25.3MB / 40.6MB,10
2026-06-21T15:46:53+08:00,RPA-redis,0.11%,17.62MiB / 15.4GiB,0.11%,716kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:46:53+08:00,RPA-grafana,0.15%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:46:53+08:00,RPA-alloy,0.64%,208.2MiB / 15.4GiB,1.32%,255kB / 1.55MB,584MB / 51.6MB,26
2026-06-21T15:46:53+08:00,RPA-loki,0.38%,132.9MiB / 15.4GiB,0.84%,1.93MB / 650kB,341MB / 35.8MB,25
2026-06-21T15:46:53+08:00,rmqbroker,3.73%,1.265GiB / 15.4GiB,8.21%,1.51MB / 2.71MB,125MB / 345MB,259
2026-06-21T15:46:53+08:00,rmqdashboard,3.14%,520.5MiB / 15.4GiB,3.30%,1.65MB / 901kB,194MB / 190MB,66
2026-06-21T15:46:53+08:00,RPA-prometheus,0.00%,327.9MiB / 15.4GiB,2.08%,276MB / 3.75MB,268MB / 107MB,26
2026-06-21T15:46:53+08:00,RPA-minio,3.51%,147MiB / 15.4GiB,0.93%,1.55MB / 989kB,184MB / 57.1MB,25
2026-06-21T15:46:53+08:00,rmqnamesrv,0.21%,263.9MiB / 15.4GiB,1.67%,2.54MB / 1.92MB,211MB / 263MB,81
2026-06-21T15:46:53+08:00,RPA-cadvisor,2.10%,276.7MiB / 15.4GiB,1.76%,3.77MB / 275MB,158MB / 20.2MB,28
2026-06-21T15:46:57+08:00,script-k6-run-8385f950a0ee,1.37%,25.79MiB / 15.4GiB,0.16%,119kB / 120kB,4.1kB / 0B,25
2026-06-21T15:46:57+08:00,RPA-app,2.79%,14.79MiB / 2GiB,0.72%,1.46MB / 1.7MB,279kB / 0B,8
2026-06-21T15:46:57+08:00,RPA-pgdb,0.88%,36.32MiB / 15.4GiB,0.23%,4.79MB / 5.93MB,25.3MB / 41.1MB,10
2026-06-21T15:46:57+08:00,RPA-redis,0.11%,17.62MiB / 15.4GiB,0.11%,716kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:46:57+08:00,RPA-grafana,0.13%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:46:57+08:00,RPA-alloy,0.64%,208.2MiB / 15.4GiB,1.32%,255kB / 1.56MB,584MB / 51.6MB,26
2026-06-21T15:46:57+08:00,RPA-loki,0.38%,132.2MiB / 15.4GiB,0.84%,1.94MB / 650kB,341MB / 35.8MB,25
2026-06-21T15:46:57+08:00,rmqbroker,3.66%,1.264GiB / 15.4GiB,8.21%,1.51MB / 2.71MB,125MB / 345MB,259
2026-06-21T15:46:57+08:00,rmqdashboard,0.07%,520.3MiB / 15.4GiB,3.30%,1.65MB / 901kB,194MB / 190MB,66
2026-06-21T15:46:57+08:00,RPA-prometheus,0.00%,327.9MiB / 15.4GiB,2.08%,276MB / 3.75MB,268MB / 107MB,26
2026-06-21T15:46:57+08:00,RPA-minio,3.98%,151.5MiB / 15.4GiB,0.96%,1.66MB / 1.06MB,184MB / 57.8MB,25
2026-06-21T15:46:57+08:00,rmqnamesrv,0.12%,263.9MiB / 15.4GiB,1.67%,2.54MB / 1.92MB,211MB / 263MB,81
2026-06-21T15:46:57+08:00,RPA-cadvisor,2.10%,238MiB / 15.4GiB,1.51%,3.77MB / 275MB,158MB / 20.2MB,28
2026-06-21T15:47:00+08:00,script-k6-run-8385f950a0ee,1.33%,25.5MiB / 15.4GiB,0.16%,148kB / 149kB,4.1kB / 0B,25
2026-06-21T15:47:00+08:00,RPA-app,2.78%,13.87MiB / 2GiB,0.68%,1.63MB / 1.9MB,279kB / 0B,8
2026-06-21T15:47:00+08:00,RPA-pgdb,0.87%,36.77MiB / 15.4GiB,0.23%,4.84MB / 5.99MB,25.3MB / 41.7MB,10
2026-06-21T15:47:00+08:00,RPA-redis,0.14%,17.62MiB / 15.4GiB,0.11%,716kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:00+08:00,RPA-grafana,0.15%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:47:00+08:00,RPA-alloy,0.76%,213.2MiB / 15.4GiB,1.35%,256kB / 1.57MB,588MB / 51.7MB,26
2026-06-21T15:47:00+08:00,RPA-loki,0.37%,133.3MiB / 15.4GiB,0.85%,1.95MB / 652kB,341MB / 35.8MB,25
2026-06-21T15:47:00+08:00,rmqbroker,3.95%,1.265GiB / 15.4GiB,8.21%,1.51MB / 2.71MB,125MB / 346MB,259
2026-06-21T15:47:00+08:00,rmqdashboard,0.11%,519.9MiB / 15.4GiB,3.30%,1.66MB / 903kB,194MB / 190MB,66
2026-06-21T15:47:00+08:00,RPA-prometheus,0.16%,329.2MiB / 15.4GiB,2.09%,276MB / 3.75MB,268MB / 107MB,26
2026-06-21T15:47:00+08:00,RPA-minio,4.03%,162.8MiB / 15.4GiB,1.03%,1.76MB / 1.13MB,184MB / 58.1MB,25
2026-06-21T15:47:00+08:00,rmqnamesrv,0.12%,264MiB / 15.4GiB,1.67%,2.54MB / 1.93MB,211MB / 263MB,81
2026-06-21T15:47:00+08:00,RPA-cadvisor,5.70%,270.9MiB / 15.4GiB,1.72%,3.78MB / 276MB,158MB / 20.2MB,28
2026-06-21T15:47:03+08:00,script-k6-run-8385f950a0ee,1.42%,26.09MiB / 15.4GiB,0.17%,207kB / 211kB,4.1kB / 0B,25
2026-06-21T15:47:03+08:00,RPA-app,2.80%,14.08MiB / 2GiB,0.69%,1.79MB / 2.11MB,279kB / 0B,8
2026-06-21T15:47:03+08:00,RPA-pgdb,2.76%,36.46MiB / 15.4GiB,0.23%,4.89MB / 6.04MB,25.3MB / 42.2MB,10
2026-06-21T15:47:03+08:00,RPA-redis,0.51%,19.2MiB / 15.4GiB,0.12%,716kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:03+08:00,RPA-grafana,0.15%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:47:03+08:00,RPA-alloy,0.64%,212.4MiB / 15.4GiB,1.35%,256kB / 1.57MB,588MB / 51.7MB,26
2026-06-21T15:47:03+08:00,RPA-loki,0.38%,132.6MiB / 15.4GiB,0.84%,1.96MB / 652kB,341MB / 35.8MB,25
2026-06-21T15:47:03+08:00,rmqbroker,3.73%,1.264GiB / 15.4GiB,8.21%,1.51MB / 2.71MB,125MB / 346MB,259
2026-06-21T15:47:03+08:00,rmqdashboard,0.13%,520.2MiB / 15.4GiB,3.30%,1.66MB / 903kB,194MB / 190MB,66
2026-06-21T15:47:03+08:00,RPA-prometheus,0.00%,328.5MiB / 15.4GiB,2.08%,276MB / 3.75MB,268MB / 107MB,26
2026-06-21T15:47:03+08:00,RPA-minio,3.86%,175.4MiB / 15.4GiB,1.11%,1.87MB / 1.2MB,184MB / 58.3MB,25
2026-06-21T15:47:03+08:00,rmqnamesrv,0.12%,263.8MiB / 15.4GiB,1.67%,2.54MB / 1.93MB,211MB / 263MB,81
2026-06-21T15:47:03+08:00,RPA-cadvisor,6.71%,278MiB / 15.4GiB,1.76%,3.78MB / 276MB,158MB / 20.2MB,28
2026-06-21T15:47:06+08:00,RPA-app,0.09%,12.37MiB / 2GiB,0.60%,1.87MB / 2.2MB,279kB / 0B,8
2026-06-21T15:47:06+08:00,RPA-pgdb,0.01%,35.46MiB / 15.4GiB,0.22%,4.92MB / 6.06MB,25.3MB / 42.5MB,10
2026-06-21T15:47:06+08:00,RPA-redis,0.13%,17.62MiB / 15.4GiB,0.11%,716kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:47:06+08:00,RPA-grafana,0.14%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:47:06+08:00,RPA-alloy,0.20%,213.5MiB / 15.4GiB,1.35%,257kB / 1.58MB,590MB / 51.7MB,26
2026-06-21T15:47:06+08:00,RPA-loki,0.42%,132.4MiB / 15.4GiB,0.84%,1.97MB / 653kB,341MB / 35.9MB,25
2026-06-21T15:47:06+08:00,rmqbroker,3.76%,1.264GiB / 15.4GiB,8.21%,1.51MB / 2.71MB,125MB / 346MB,259
2026-06-21T15:47:06+08:00,rmqdashboard,0.07%,519.9MiB / 15.4GiB,3.30%,1.66MB / 903kB,194MB / 190MB,66
2026-06-21T15:47:06+08:00,RPA-prometheus,0.05%,328.5MiB / 15.4GiB,2.08%,276MB / 3.75MB,268MB / 107MB,26
2026-06-21T15:47:06+08:00,RPA-minio,0.02%,178.2MiB / 15.4GiB,1.13%,1.92MB / 1.23MB,184MB / 59.1MB,25
2026-06-21T15:47:06+08:00,rmqnamesrv,0.12%,263.8MiB / 15.4GiB,1.67%,2.54MB / 1.93MB,211MB / 263MB,81
2026-06-21T15:47:06+08:00,RPA-cadvisor,2.02%,277.3MiB / 15.4GiB,1.76%,3.78MB / 276MB,158MB / 20.2MB,28
