timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:46:12+08:00,RPA-app,0.71%,104.8MiB / 2GiB,5.12%,393kB / 446kB,0B / 0B,8
2026-06-21T15:46:12+08:00,RPA-pgdb,2.12%,36.79MiB / 15.4GiB,0.23%,4.28MB / 5.37MB,25.3MB / 37.2MB,10
2026-06-21T15:46:12+08:00,RPA-redis,0.13%,17.37MiB / 15.4GiB,0.11%,715kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:46:12+08:00,RPA-grafana,0.23%,116.8MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:46:12+08:00,RPA-alloy,1.48%,208.5MiB / 15.4GiB,1.32%,247kB / 1.47MB,584MB / 51MB,26
2026-06-21T15:46:12+08:00,RPA-loki,0.38%,130.4MiB / 15.4GiB,0.83%,1.85MB / 643kB,341MB / 35.5MB,25
2026-06-21T15:46:12+08:00,rmqbroker,4.11%,1.278GiB / 15.4GiB,8.30%,1.5MB / 2.71MB,125MB / 343MB,259
2026-06-21T15:46:12+08:00,rmqdashboard,0.06%,528.2MiB / 15.4GiB,3.35%,1.65MB / 898kB,193MB / 186MB,66
2026-06-21T15:46:12+08:00,RPA-prometheus,0.00%,325.2MiB / 15.4GiB,2.06%,275MB / 3.73MB,268MB / 107MB,26
2026-06-21T15:46:12+08:00,RPA-minio,0.04%,143.9MiB / 15.4GiB,0.91%,1.39MB / 886kB,184MB / 54MB,25
2026-06-21T15:46:12+08:00,rmqnamesrv,0.10%,266MiB / 15.4GiB,1.69%,2.53MB / 1.92MB,211MB / 260MB,81
2026-06-21T15:46:12+08:00,RPA-cadvisor,3.03%,297MiB / 15.4GiB,1.88%,3.76MB / 274MB,158MB / 20.2MB,28
2026-06-21T15:46:12+08:00,script-k6-run-e61b4f4354ee,1.76%,22.72MiB / 15.4GiB,0.14%,35.1kB / 14.1kB,0B / 0B,23
2026-06-21T15:46:16+08:00,script-k6-run-e61b4f4354ee,1.20%,23.09MiB / 15.4GiB,0.15%,89.2kB / 31.7kB,0B / 0B,25
2026-06-21T15:46:16+08:00,RPA-app,1.01%,70.82MiB / 2GiB,3.46%,468kB / 544kB,0B / 0B,8
2026-06-21T15:46:16+08:00,RPA-pgdb,0.32%,36.85MiB / 15.4GiB,0.23%,4.31MB / 5.42MB,25.3MB / 37.2MB,10
2026-06-21T15:46:16+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,715kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:46:16+08:00,RPA-grafana,0.15%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:46:16+08:00,RPA-alloy,0.55%,208.7MiB / 15.4GiB,1.32%,248kB / 1.48MB,584MB / 51MB,26
2026-06-21T15:46:16+08:00,RPA-loki,0.37%,131.2MiB / 15.4GiB,0.83%,1.86MB / 644kB,341MB / 35.5MB,25
2026-06-21T15:46:16+08:00,rmqbroker,3.89%,1.275GiB / 15.4GiB,8.28%,1.5MB / 2.71MB,125MB / 345MB,259
2026-06-21T15:46:16+08:00,rmqdashboard,0.07%,524.7MiB / 15.4GiB,3.33%,1.65MB / 899kB,193MB / 189MB,66
2026-06-21T15:46:16+08:00,RPA-prometheus,0.02%,325.2MiB / 15.4GiB,2.06%,275MB / 3.73MB,268MB / 107MB,26
2026-06-21T15:46:16+08:00,RPA-minio,0.03%,143.8MiB / 15.4GiB,0.91%,1.39MB / 886kB,184MB / 54MB,25
2026-06-21T15:46:16+08:00,rmqnamesrv,0.10%,264.3MiB / 15.4GiB,1.68%,2.53MB / 1.92MB,211MB / 262MB,81
2026-06-21T15:46:16+08:00,RPA-cadvisor,2.71%,276.4MiB / 15.4GiB,1.75%,3.76MB / 275MB,158MB / 20.2MB,28
2026-06-21T15:46:19+08:00,script-k6-run-e61b4f4354ee,1.12%,23.58MiB / 15.4GiB,0.15%,142kB / 50.8kB,0B / 0B,25
2026-06-21T15:46:19+08:00,RPA-app,1.04%,72.34MiB / 2GiB,3.53%,522kB / 613kB,0B / 0B,8
2026-06-21T15:46:19+08:00,RPA-pgdb,0.34%,36MiB / 15.4GiB,0.23%,4.33MB / 5.45MB,25.3MB / 37.2MB,10
2026-06-21T15:46:19+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,715kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:46:19+08:00,RPA-grafana,0.21%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:46:19+08:00,RPA-alloy,1.04%,209.9MiB / 15.4GiB,1.33%,249kB / 1.49MB,584MB / 51.6MB,26
2026-06-21T15:46:19+08:00,RPA-loki,0.49%,132.2MiB / 15.4GiB,0.84%,1.87MB / 644kB,341MB / 35.5MB,25
2026-06-21T15:46:19+08:00,rmqbroker,4.53%,1.264GiB / 15.4GiB,8.21%,1.5MB / 2.71MB,125MB / 345MB,259
2026-06-21T15:46:19+08:00,rmqdashboard,0.11%,520.2MiB / 15.4GiB,3.30%,1.65MB / 899kB,194MB / 190MB,66
2026-06-21T15:46:19+08:00,RPA-prometheus,0.00%,325.2MiB / 15.4GiB,2.06%,275MB / 3.73MB,268MB / 107MB,26
2026-06-21T15:46:19+08:00,RPA-minio,0.00%,143.8MiB / 15.4GiB,0.91%,1.39MB / 886kB,184MB / 54MB,25
2026-06-21T15:46:19+08:00,rmqnamesrv,0.24%,263.6MiB / 15.4GiB,1.67%,2.53MB / 1.92MB,211MB / 263MB,81
2026-06-21T15:46:19+08:00,RPA-cadvisor,2.15%,279.4MiB / 15.4GiB,1.77%,3.76MB / 275MB,158MB / 20.2MB,28
2026-06-21T15:46:22+08:00,script-k6-run-e61b4f4354ee,2.07%,24.04MiB / 15.4GiB,0.15%,175kB / 61.7kB,0B / 0B,25
2026-06-21T15:46:22+08:00,RPA-app,1.19%,12.3MiB / 2GiB,0.60%,576kB / 682kB,279kB / 0B,8
2026-06-21T15:46:22+08:00,RPA-pgdb,2.16%,37.33MiB / 15.4GiB,0.24%,4.34MB / 5.49MB,25.3MB / 37.2MB,10
2026-06-21T15:46:22+08:00,RPA-redis,0.12%,17.37MiB / 15.4GiB,0.11%,715kB / 236kB,18.1MB / 569kB,7
