timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:46:31+08:00,RPA-app,1.29%,14.39MiB / 2GiB,0.70%,681kB / 809kB,279kB / 0B,8
2026-06-21T15:46:31+08:00,RPA-pgdb,0.76%,36.81MiB / 15.4GiB,0.23%,4.39MB / 5.56MB,25.3MB / 37.4MB,10
2026-06-21T15:46:31+08:00,RPA-redis,0.13%,17.62MiB / 15.4GiB,0.11%,715kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:46:31+08:00,RPA-grafana,0.16%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:46:31+08:00,RPA-alloy,0.44%,208.4MiB / 15.4GiB,1.32%,251kB / 1.5MB,584MB / 51.6MB,26
2026-06-21T15:46:31+08:00,RPA-loki,0.29%,131.2MiB / 15.4GiB,0.83%,1.89MB / 646kB,341MB / 35.6MB,25
2026-06-21T15:46:31+08:00,rmqbroker,3.75%,1.265GiB / 15.4GiB,8.22%,1.5MB / 2.71MB,125MB / 345MB,259
2026-06-21T15:46:31+08:00,rmqdashboard,0.06%,520.2MiB / 15.4GiB,3.30%,1.65MB / 901kB,194MB / 190MB,66
2026-06-21T15:46:31+08:00,RPA-prometheus,0.00%,327.9MiB / 15.4GiB,2.08%,275MB / 3.74MB,268MB / 107MB,26
2026-06-21T15:46:31+08:00,RPA-minio,0.02%,143.8MiB / 15.4GiB,0.91%,1.39MB / 886kB,184MB / 55.6MB,25
2026-06-21T15:46:31+08:00,rmqnamesrv,0.11%,263.7MiB / 15.4GiB,1.67%,2.53MB / 1.92MB,211MB / 263MB,81
2026-06-21T15:46:31+08:00,RPA-cadvisor,2.69%,268.9MiB / 15.4GiB,1.71%,3.77MB / 275MB,158MB / 20.2MB,28
2026-06-21T15:46:31+08:00,script-k6-run-ea3afc369583,1.87%,23.8MiB / 15.4GiB,0.15%,21.8kB / 20.2kB,4.1kB / 0B,25
2026-06-21T15:46:35+08:00,script-k6-run-ea3afc369583,1.27%,24.52MiB / 15.4GiB,0.16%,46.8kB / 43.2kB,4.1kB / 0B,25
2026-06-21T15:46:35+08:00,RPA-app,1.29%,13.32MiB / 2GiB,0.65%,786kB / 921kB,279kB / 0B,8
2026-06-21T15:46:35+08:00,RPA-pgdb,0.88%,36.93MiB / 15.4GiB,0.23%,4.47MB / 5.63MB,25.3MB / 38.1MB,10
2026-06-21T15:46:35+08:00,RPA-redis,0.11%,17.62MiB / 15.4GiB,0.11%,715kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:46:35+08:00,RPA-grafana,0.15%,116.6MiB / 15.4GiB,0.74%,23.5MB / 270kB,464MB / 111MB,25
2026-06-21T15:46:35+08:00,RPA-alloy,0.48%,209.4MiB / 15.4GiB,1.33%,251kB / 1.51MB,584MB / 51.6MB,26
2026-06-21T15:46:35+08:00,RPA-loki,0.40%,131MiB / 15.4GiB,0.83%,1.9MB / 647kB,341MB / 35.6MB,25
2026-06-21T15:46:35+08:00,rmqbroker,3.82%,1.265GiB / 15.4GiB,8.21%,1.5MB / 2.71MB,125MB / 345MB,259
2026-06-21T15:46:35+08:00,rmqdashboard,0.06%,520.2MiB / 15.4GiB,3.30%,1.65MB / 901kB,194MB / 190MB,66
2026-06-21T15:46:35+08:00,RPA-prometheus,0.45%,328.4MiB / 15.4GiB,2.08%,275MB / 3.74MB,268MB / 107MB,26
2026-06-21T15:46:35+08:00,RPA-minio,0.03%,143.8MiB / 15.4GiB,0.91%,1.39MB / 886kB,184MB / 55.6MB,25
2026-06-21T15:46:35+08:00,rmqnamesrv,0.11%,263.5MiB / 15.4GiB,1.67%,2.53MB / 1.92MB,211MB / 263MB,81
