timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:45:38+08:00,RPA-app,22.78%,106.7MiB / 2GiB,5.21%,36.4kB / 43.1kB,0B / 0B,7
2026-06-21T15:45:38+08:00,RPA-pgdb,0.51%,36.24MiB / 15.4GiB,0.23%,4.16MB / 5.28MB,25.3MB / 36.5MB,10
2026-06-21T15:45:38+08:00,RPA-redis,0.15%,17.62MiB / 15.4GiB,0.11%,692kB / 230kB,18MB / 492kB,7
2026-06-21T15:45:38+08:00,RPA-grafana,0.20%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:45:38+08:00,RPA-alloy,0.19%,205.1MiB / 15.4GiB,1.30%,244kB / 1.42MB,584MB / 50.9MB,26
2026-06-21T15:45:38+08:00,RPA-loki,0.31%,130.3MiB / 15.4GiB,0.83%,1.79MB / 636kB,332MB / 35.2MB,25
2026-06-21T15:45:38+08:00,rmqbroker,3.87%,1.283GiB / 15.4GiB,8.34%,1.5MB / 2.7MB,125MB / 341MB,259
2026-06-21T15:45:38+08:00,rmqdashboard,0.15%,534MiB / 15.4GiB,3.39%,1.64MB / 897kB,193MB / 179MB,66
2026-06-21T15:45:38+08:00,RPA-prometheus,0.00%,365.3MiB / 15.4GiB,2.32%,274MB / 3.72MB,268MB / 107MB,26
2026-06-21T15:45:38+08:00,RPA-minio,0.00%,158.7MiB / 15.4GiB,1.01%,1.38MB / 881kB,184MB / 51.1MB,25
2026-06-21T15:45:38+08:00,rmqnamesrv,0.22%,266.8MiB / 15.4GiB,1.69%,2.52MB / 1.91MB,211MB / 260MB,81
2026-06-21T15:45:38+08:00,RPA-cadvisor,1.84%,279.3MiB / 15.4GiB,1.77%,3.75MB / 274MB,158MB / 20.2MB,28
2026-06-21T15:45:38+08:00,script-k6-run-de035a40aed9,1.87%,22.46MiB / 15.4GiB,0.14%,11.3kB / 13.5kB,0B / 0B,25
2026-06-21T15:45:41+08:00,script-k6-run-de035a40aed9,1.15%,22.93MiB / 15.4GiB,0.15%,36.4kB / 42.8kB,0B / 0B,25
2026-06-21T15:45:41+08:00,RPA-app,8.56%,105.3MiB / 2GiB,5.14%,74.5kB / 84.9kB,0B / 0B,8
2026-06-21T15:45:41+08:00,RPA-pgdb,0.56%,36.5MiB / 15.4GiB,0.23%,4.18MB / 5.28MB,25.3MB / 36.6MB,10
2026-06-21T15:45:41+08:00,RPA-redis,0.14%,17.88MiB / 15.4GiB,0.11%,692kB / 230kB,18MB / 492kB,7
2026-06-21T15:45:41+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:45:41+08:00,RPA-alloy,0.13%,205.1MiB / 15.4GiB,1.30%,244kB / 1.42MB,584MB / 50.9MB,26
2026-06-21T15:45:41+08:00,RPA-loki,0.28%,130.6MiB / 15.4GiB,0.83%,1.79MB / 636kB,332MB / 35.2MB,25
2026-06-21T15:45:41+08:00,rmqbroker,3.66%,1.283GiB / 15.4GiB,8.33%,1.5MB / 2.7MB,125MB / 341MB,259
