timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:48:34+08:00,RPA-app,0.63%,14.39MiB / 2GiB,0.70%,17.7MB / 25MB,279kB / 0B,8
2026-06-21T15:48:34+08:00,RPA-pgdb,2.19%,37.46MiB / 15.4GiB,0.24%,6.24MB / 21.2MB,25.3MB / 51.2MB,10
2026-06-21T15:48:34+08:00,RPA-redis,0.42%,18.68MiB / 15.4GiB,0.12%,718kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:34+08:00,RPA-grafana,0.12%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:34+08:00,RPA-alloy,0.29%,214.4MiB / 15.4GiB,1.36%,273kB / 1.75MB,590MB / 51.9MB,26
2026-06-21T15:48:34+08:00,RPA-loki,0.31%,136.3MiB / 15.4GiB,0.86%,2.14MB / 668kB,343MB / 36.7MB,25
2026-06-21T15:48:34+08:00,rmqbroker,4.52%,1.264GiB / 15.4GiB,8.21%,1.52MB / 2.73MB,125MB / 347MB,259
2026-06-21T15:48:34+08:00,rmqdashboard,0.15%,521.2MiB / 15.4GiB,3.31%,1.67MB / 910kB,195MB / 190MB,66
2026-06-21T15:48:34+08:00,RPA-prometheus,0.00%,347.5MiB / 15.4GiB,2.20%,278MB / 3.79MB,268MB / 108MB,26
2026-06-21T15:48:34+08:00,RPA-minio,0.02%,180.2MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,184MB / 65.8MB,25
2026-06-21T15:48:34+08:00,rmqnamesrv,0.11%,264.8MiB / 15.4GiB,1.68%,2.56MB / 1.94MB,212MB / 263MB,81
2026-06-21T15:48:34+08:00,RPA-cadvisor,2.74%,278.5MiB / 15.4GiB,1.77%,3.81MB / 278MB,158MB / 20.2MB,28
2026-06-21T15:48:34+08:00,script-k6-run-4de8c3fe2ef2,2.44%,23.82MiB / 15.4GiB,0.15%,22.2kB / 12.5kB,4.1kB / 0B,25
2026-06-21T15:48:37+08:00,script-k6-run-4de8c3fe2ef2,1.14%,23.96MiB / 15.4GiB,0.15%,62.5kB / 30.3kB,4.1kB / 0B,25
2026-06-21T15:48:37+08:00,RPA-app,1.05%,14.16MiB / 2GiB,0.69%,17.8MB / 25.1MB,279kB / 0B,8
2026-06-21T15:48:37+08:00,RPA-pgdb,0.49%,37.93MiB / 15.4GiB,0.24%,6.3MB / 21.3MB,25.3MB / 51.2MB,10
2026-06-21T15:48:37+08:00,RPA-redis,0.13%,17.62MiB / 15.4GiB,0.11%,718kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:37+08:00,RPA-grafana,0.15%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:37+08:00,RPA-alloy,0.40%,215.1MiB / 15.4GiB,1.36%,274kB / 1.76MB,590MB / 51.9MB,26
2026-06-21T15:48:37+08:00,RPA-loki,0.38%,136.5MiB / 15.4GiB,0.87%,2.15MB / 669kB,343MB / 36.7MB,25
2026-06-21T15:48:37+08:00,rmqbroker,4.67%,1.265GiB / 15.4GiB,8.22%,1.52MB / 2.73MB,125MB / 347MB,259
2026-06-21T15:48:37+08:00,rmqdashboard,0.07%,521.2MiB / 15.4GiB,3.31%,1.67MB / 910kB,195MB / 190MB,66
2026-06-21T15:48:37+08:00,RPA-prometheus,0.00%,347.5MiB / 15.4GiB,2.20%,278MB / 3.79MB,268MB / 108MB,26
2026-06-21T15:48:37+08:00,RPA-minio,0.03%,180.2MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,184MB / 65.8MB,25
2026-06-21T15:48:37+08:00,rmqnamesrv,0.11%,265.1MiB / 15.4GiB,1.68%,2.56MB / 1.94MB,212MB / 263MB,81
2026-06-21T15:48:37+08:00,RPA-cadvisor,2.37%,283.6MiB / 15.4GiB,1.80%,3.81MB / 278MB,158MB / 20.2MB,28
2026-06-21T15:48:40+08:00,script-k6-run-4de8c3fe2ef2,1.94%,23.85MiB / 15.4GiB,0.15%,99.6kB / 49.2kB,4.1kB / 0B,25
