timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:48:16+08:00,RPA-app,0.57%,15.19MiB / 2GiB,0.74%,16.8MB / 23.4MB,279kB / 0B,8
2026-06-21T15:48:16+08:00,RPA-pgdb,0.30%,37.61MiB / 15.4GiB,0.24%,5.99MB / 20.5MB,25.3MB / 51.2MB,10
2026-06-21T15:48:16+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,718kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:16+08:00,RPA-grafana,0.14%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:16+08:00,RPA-alloy,0.29%,214.3MiB / 15.4GiB,1.36%,270kB / 1.72MB,590MB / 51.9MB,26
2026-06-21T15:48:16+08:00,RPA-loki,0.41%,135.8MiB / 15.4GiB,0.86%,2.1MB / 666kB,343MB / 36.5MB,25
2026-06-21T15:48:16+08:00,rmqbroker,3.75%,1.264GiB / 15.4GiB,8.21%,1.52MB / 2.73MB,125MB / 347MB,259
2026-06-21T15:48:16+08:00,rmqdashboard,0.06%,520.4MiB / 15.4GiB,3.30%,1.67MB / 907kB,194MB / 190MB,66
2026-06-21T15:48:16+08:00,RPA-prometheus,0.00%,347.5MiB / 15.4GiB,2.20%,278MB / 3.78MB,268MB / 108MB,26
2026-06-21T15:48:16+08:00,RPA-minio,0.00%,180.2MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,184MB / 64.6MB,25
2026-06-21T15:48:16+08:00,rmqnamesrv,0.15%,264.8MiB / 15.4GiB,1.68%,2.55MB / 1.94MB,212MB / 263MB,81
2026-06-21T15:48:16+08:00,RPA-cadvisor,2.05%,265.8MiB / 15.4GiB,1.69%,3.81MB / 278MB,158MB / 20.2MB,28
2026-06-21T15:48:16+08:00,script-k6-run-d8ede020b5e4,2.38%,22.68MiB / 15.4GiB,0.14%,131kB / 13.5kB,4.1kB / 0B,25
2026-06-21T15:48:19+08:00,script-k6-run-d8ede020b5e4,1.11%,22.53MiB / 15.4GiB,0.14%,411kB / 35.7kB,4.1kB / 0B,25
2026-06-21T15:48:19+08:00,RPA-app,1.47%,15.19MiB / 2GiB,0.74%,17.1MB / 23.8MB,279kB / 0B,8
2026-06-21T15:48:19+08:00,RPA-pgdb,0.50%,38.42MiB / 15.4GiB,0.24%,6.06MB / 20.7MB,25.3MB / 51.2MB,10
2026-06-21T15:48:19+08:00,RPA-redis,0.11%,17.62MiB / 15.4GiB,0.11%,718kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:19+08:00,RPA-grafana,0.14%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:19+08:00,RPA-alloy,0.96%,216.1MiB / 15.4GiB,1.37%,271kB / 1.72MB,590MB / 51.9MB,26
2026-06-21T15:48:19+08:00,RPA-loki,0.27%,135.8MiB / 15.4GiB,0.86%,2.11MB / 666kB,343MB / 36.5MB,25
2026-06-21T15:48:19+08:00,rmqbroker,3.88%,1.264GiB / 15.4GiB,8.21%,1.52MB / 2.73MB,125MB / 347MB,259
2026-06-21T15:48:19+08:00,rmqdashboard,0.13%,520.5MiB / 15.4GiB,3.30%,1.67MB / 907kB,194MB / 190MB,66
2026-06-21T15:48:19+08:00,RPA-prometheus,0.00%,347.5MiB / 15.4GiB,2.20%,278MB / 3.78MB,268MB / 108MB,26
2026-06-21T15:48:19+08:00,RPA-minio,0.00%,180.2MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,184MB / 64.6MB,25
2026-06-21T15:48:19+08:00,rmqnamesrv,0.21%,265.6MiB / 15.4GiB,1.68%,2.56MB / 1.94MB,212MB / 263MB,81
2026-06-21T15:48:19+08:00,RPA-cadvisor,1.87%,269.9MiB / 15.4GiB,1.71%,3.81MB / 278MB,158MB / 20.2MB,28
2026-06-21T15:48:22+08:00,script-k6-run-d8ede020b5e4,1.16%,23.33MiB / 15.4GiB,0.15%,683kB / 58.5kB,4.1kB / 0B,25
2026-06-21T15:48:22+08:00,RPA-app,1.39%,14.87MiB / 2GiB,0.73%,17.3MB / 24.1MB,279kB / 0B,8
2026-06-21T15:48:22+08:00,RPA-pgdb,0.95%,37.4MiB / 15.4GiB,0.24%,6.11MB / 20.8MB,25.3MB / 51.2MB,10
2026-06-21T15:48:22+08:00,RPA-redis,0.13%,17.37MiB / 15.4GiB,0.11%,718kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:48:22+08:00,RPA-grafana,0.13%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:48:22+08:00,RPA-alloy,0.47%,214.8MiB / 15.4GiB,1.36%,272kB / 1.73MB,590MB / 51.9MB,26
2026-06-21T15:48:22+08:00,RPA-loki,0.49%,136MiB / 15.4GiB,0.86%,2.12MB / 667kB,343MB / 36.5MB,25
