timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:50:54+08:00,RPA-app,0.96%,15.69MiB / 2GiB,0.77%,22.4MB / 30.3MB,279kB / 0B,8
2026-06-21T15:50:54+08:00,RPA-pgdb,0.32%,37.98MiB / 15.4GiB,0.24%,7.11MB / 24.5MB,25.3MB / 54.9MB,10
2026-06-21T15:50:54+08:00,RPA-redis,0.17%,17.38MiB / 15.4GiB,0.11%,889kB / 309kB,18.2MB / 709kB,7
2026-06-21T15:50:54+08:00,RPA-grafana,0.17%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:54+08:00,RPA-alloy,0.39%,215.6MiB / 15.4GiB,1.37%,299kB / 2.06MB,590MB / 52.3MB,26
2026-06-21T15:50:54+08:00,RPA-loki,0.32%,140.7MiB / 15.4GiB,0.89%,2.45MB / 693kB,345MB / 38.8MB,25
2026-06-21T15:50:54+08:00,rmqbroker,4.16%,1.27GiB / 15.4GiB,8.25%,1.54MB / 2.76MB,131MB / 350MB,259
2026-06-21T15:50:54+08:00,rmqdashboard,0.13%,522.3MiB / 15.4GiB,3.31%,1.69MB / 918kB,196MB / 191MB,66
2026-06-21T15:50:54+08:00,RPA-prometheus,0.00%,339.9MiB / 15.4GiB,2.16%,281MB / 3.84MB,268MB / 109MB,26
2026-06-21T15:50:54+08:00,RPA-minio,0.16%,153.2MiB / 15.4GiB,0.97%,2.26MB / 1.42MB,185MB / 80.2MB,25
2026-06-21T15:50:54+08:00,rmqnamesrv,0.18%,266.9MiB / 15.4GiB,1.69%,2.59MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:50:54+08:00,RPA-cadvisor,2.59%,280.8MiB / 15.4GiB,1.78%,3.86MB / 281MB,158MB / 20.2MB,28
2026-06-21T15:50:54+08:00,script-k6-run-30740878a955,1.84%,23.86MiB / 15.4GiB,0.15%,32.2kB / 18.8kB,0B / 0B,22
2026-06-21T15:50:57+08:00,script-k6-run-30740878a955,1.32%,23.57MiB / 15.4GiB,0.15%,64.2kB / 38.1kB,0B / 0B,22
2026-06-21T15:50:57+08:00,RPA-app,0.64%,15.81MiB / 2GiB,0.77%,22.4MB / 30.3MB,279kB / 0B,8
2026-06-21T15:50:57+08:00,RPA-pgdb,0.08%,38.43MiB / 15.4GiB,0.24%,7.12MB / 24.5MB,25.3MB / 54.9MB,10
