timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:51:11+08:00,RPA-app,1.30%,13.7MiB / 2GiB,0.67%,22.6MB / 30.5MB,279kB / 0B,8
2026-06-21T15:51:11+08:00,RPA-pgdb,0.55%,37.79MiB / 15.4GiB,0.24%,7.14MB / 24.6MB,25.3MB / 55.4MB,10
2026-06-21T15:51:11+08:00,RPA-redis,0.24%,18.61MiB / 15.4GiB,0.12%,901kB / 312kB,18.2MB / 729kB,7
2026-06-21T15:51:11+08:00,RPA-grafana,0.13%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:51:11+08:00,RPA-alloy,0.44%,215.8MiB / 15.4GiB,1.37%,303kB / 2.09MB,590MB / 52.4MB,26
2026-06-21T15:51:11+08:00,RPA-loki,0.29%,141.9MiB / 15.4GiB,0.90%,2.49MB / 697kB,345MB / 39MB,25
2026-06-21T15:51:11+08:00,rmqbroker,3.80%,1.27GiB / 15.4GiB,8.25%,1.54MB / 2.77MB,131MB / 350MB,259
2026-06-21T15:51:11+08:00,rmqdashboard,0.07%,522.2MiB / 15.4GiB,3.31%,1.69MB / 920kB,196MB / 191MB,66
2026-06-21T15:51:11+08:00,RPA-prometheus,0.01%,344.7MiB / 15.4GiB,2.19%,282MB / 3.84MB,268MB / 109MB,26
2026-06-21T15:51:11+08:00,RPA-minio,0.01%,159.2MiB / 15.4GiB,1.01%,2.26MB / 1.42MB,185MB / 82MB,25
2026-06-21T15:51:11+08:00,rmqnamesrv,0.10%,266.3MiB / 15.4GiB,1.69%,2.59MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:51:11+08:00,RPA-cadvisor,1.85%,294.2MiB / 15.4GiB,1.87%,3.86MB / 281MB,158MB / 20.2MB,28
2026-06-21T15:51:11+08:00,script-k6-run-67cb35e873c2,1.79%,22.08MiB / 15.4GiB,0.14%,24.5kB / 11.8kB,4.1kB / 0B,25
2026-06-21T15:51:14+08:00,script-k6-run-67cb35e873c2,1.31%,24.3MiB / 15.4GiB,0.15%,63.2kB / 34kB,4.1kB / 0B,25
2026-06-21T15:51:14+08:00,RPA-app,0.72%,15.74MiB / 2GiB,0.77%,22.6MB / 30.6MB,279kB / 0B,8
2026-06-21T15:51:14+08:00,RPA-pgdb,0.17%,38.68MiB / 15.4GiB,0.25%,7.15MB / 24.6MB,25.3MB / 55.5MB,10
2026-06-21T15:51:14+08:00,RPA-redis,0.19%,18.61MiB / 15.4GiB,0.12%,910kB / 314kB,18.2MB / 750kB,7
2026-06-21T15:51:14+08:00,RPA-grafana,0.11%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:51:14+08:00,RPA-alloy,0.85%,216.8MiB / 15.4GiB,1.38%,303kB / 2.1MB,590MB / 52.4MB,26
2026-06-21T15:51:14+08:00,RPA-loki,0.45%,141.1MiB / 15.4GiB,0.90%,2.5MB / 698kB,345MB / 39MB,25
2026-06-21T15:51:14+08:00,rmqbroker,3.66%,1.27GiB / 15.4GiB,8.25%,1.54MB / 2.77MB,131MB / 351MB,259
2026-06-21T15:51:14+08:00,rmqdashboard,0.07%,522.2MiB / 15.4GiB,3.31%,1.69MB / 920kB,196MB / 191MB,66
2026-06-21T15:51:14+08:00,RPA-prometheus,3.93%,345.7MiB / 15.4GiB,2.19%,282MB / 3.85MB,268MB / 109MB,26
2026-06-21T15:51:14+08:00,RPA-minio,0.04%,159.2MiB / 15.4GiB,1.01%,2.26MB / 1.42MB,185MB / 82MB,25
2026-06-21T15:51:14+08:00,rmqnamesrv,0.16%,266.4MiB / 15.4GiB,1.69%,2.59MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:51:14+08:00,RPA-cadvisor,1.89%,295.7MiB / 15.4GiB,1.88%,3.86MB / 281MB,158MB / 20.2MB,28
2026-06-21T15:51:17+08:00,script-k6-run-67cb35e873c2,1.27%,24.85MiB / 15.4GiB,0.16%,97.7kB / 58.8kB,4.1kB / 0B,25
2026-06-21T15:51:17+08:00,RPA-app,0.75%,15.01MiB / 2GiB,0.73%,22.6MB / 30.6MB,279kB / 0B,8
2026-06-21T15:51:17+08:00,RPA-pgdb,0.21%,38.42MiB / 15.4GiB,0.24%,7.16MB / 24.6MB,25.3MB / 55.6MB,10
2026-06-21T15:51:17+08:00,RPA-redis,0.20%,17.87MiB / 15.4GiB,0.11%,918kB / 315kB,18.2MB / 766kB,7
2026-06-21T15:51:17+08:00,RPA-grafana,0.13%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:51:17+08:00,RPA-alloy,0.47%,216.1MiB / 15.4GiB,1.37%,304kB / 2.11MB,590MB / 52.4MB,26
2026-06-21T15:51:17+08:00,RPA-loki,0.37%,141.6MiB / 15.4GiB,0.90%,2.51MB / 699kB,345MB / 39MB,25
