timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:50:37+08:00,RPA-app,2.27%,14.81MiB / 2GiB,0.72%,21.4MB / 29.3MB,279kB / 0B,8
2026-06-21T15:50:37+08:00,RPA-pgdb,0.91%,36.41MiB / 15.4GiB,0.23%,6.68MB / 24.1MB,25.3MB / 51.4MB,10
2026-06-21T15:50:37+08:00,RPA-redis,0.31%,18.12MiB / 15.4GiB,0.11%,782kB / 269kB,18.1MB / 573kB,7
2026-06-21T15:50:37+08:00,RPA-grafana,0.17%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:37+08:00,RPA-alloy,0.75%,215.8MiB / 15.4GiB,1.37%,296kB / 1.98MB,590MB / 52.3MB,26
2026-06-21T15:50:37+08:00,RPA-loki,0.33%,140.8MiB / 15.4GiB,0.89%,2.38MB / 691kB,345MB / 38.4MB,25
2026-06-21T15:50:37+08:00,rmqbroker,3.74%,1.269GiB / 15.4GiB,8.25%,1.54MB / 2.76MB,131MB / 350MB,259
2026-06-21T15:50:37+08:00,rmqdashboard,0.07%,522.1MiB / 15.4GiB,3.31%,1.69MB / 918kB,196MB / 191MB,66
2026-06-21T15:50:37+08:00,RPA-prometheus,0.00%,339.3MiB / 15.4GiB,2.15%,281MB / 3.83MB,268MB / 108MB,26
2026-06-21T15:50:37+08:00,RPA-minio,1.62%,148.1MiB / 15.4GiB,0.94%,1.94MB / 1.24MB,185MB / 75.1MB,25
2026-06-21T15:50:37+08:00,rmqnamesrv,0.10%,266MiB / 15.4GiB,1.69%,2.58MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:50:37+08:00,RPA-cadvisor,3.22%,278.8MiB / 15.4GiB,1.77%,3.85MB / 281MB,158MB / 20.2MB,28
2026-06-21T15:50:37+08:00,script-k6-run-78ad15ada14f,1.97%,24.63MiB / 15.4GiB,0.16%,16.7kB / 47.7kB,4.1kB / 0B,25
2026-06-21T15:50:40+08:00,script-k6-run-78ad15ada14f,1.31%,24.32MiB / 15.4GiB,0.15%,40.7kB / 125kB,4.1kB / 0B,25
2026-06-21T15:50:40+08:00,RPA-app,2.76%,15.81MiB / 2GiB,0.77%,21.7MB / 29.6MB,279kB / 0B,8
2026-06-21T15:50:40+08:00,RPA-pgdb,1.06%,37.86MiB / 15.4GiB,0.24%,6.8MB / 24.2MB,25.3MB / 52.4MB,10
2026-06-21T15:50:40+08:00,RPA-redis,0.40%,18.12MiB / 15.4GiB,0.11%,812kB / 280kB,18.1MB / 606kB,7
2026-06-21T15:50:40+08:00,RPA-grafana,0.16%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:40+08:00,RPA-alloy,1.02%,216.8MiB / 15.4GiB,1.38%,297kB / 2MB,590MB / 52.3MB,26
2026-06-21T15:50:40+08:00,RPA-loki,0.46%,141MiB / 15.4GiB,0.89%,2.4MB / 691kB,345MB / 38.4MB,25
2026-06-21T15:50:40+08:00,rmqbroker,3.52%,1.27GiB / 15.4GiB,8.25%,1.54MB / 2.76MB,131MB / 350MB,259
2026-06-21T15:50:40+08:00,rmqdashboard,0.07%,522.1MiB / 15.4GiB,3.31%,1.69MB / 918kB,196MB / 191MB,66
2026-06-21T15:50:40+08:00,RPA-prometheus,0.01%,339.3MiB / 15.4GiB,2.15%,281MB / 3.83MB,268MB / 108MB,26
2026-06-21T15:50:40+08:00,RPA-minio,2.22%,147.7MiB / 15.4GiB,0.94%,2.03MB / 1.29MB,185MB / 75.5MB,25
2026-06-21T15:50:40+08:00,rmqnamesrv,0.11%,266.3MiB / 15.4GiB,1.69%,2.59MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:50:40+08:00,RPA-cadvisor,1.90%,284.1MiB / 15.4GiB,1.80%,3.85MB / 281MB,158MB / 20.2MB,28
2026-06-21T15:50:43+08:00,script-k6-run-78ad15ada14f,1.38%,26.72MiB / 15.4GiB,0.17%,62.5kB / 204kB,4.1kB / 0B,25
2026-06-21T15:50:43+08:00,RPA-app,3.11%,16.58MiB / 2GiB,0.81%,21.9MB / 29.8MB,279kB / 0B,8
2026-06-21T15:50:43+08:00,RPA-pgdb,1.24%,37.86MiB / 15.4GiB,0.24%,6.89MB / 24.3MB,25.3MB / 53MB,10
2026-06-21T15:50:43+08:00,RPA-redis,0.37%,18.62MiB / 15.4GiB,0.12%,835kB / 289kB,18.1MB / 635kB,7
2026-06-21T15:50:43+08:00,RPA-grafana,0.12%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:43+08:00,RPA-alloy,1.05%,215.8MiB / 15.4GiB,1.37%,298kB / 2.02MB,590MB / 52.3MB,26
2026-06-21T15:50:43+08:00,RPA-loki,0.49%,141.3MiB / 15.4GiB,0.90%,2.41MB / 692kB,345MB / 38.4MB,25
2026-06-21T15:50:43+08:00,rmqbroker,3.67%,1.269GiB / 15.4GiB,8.25%,1.54MB / 2.76MB,131MB / 350MB,259
2026-06-21T15:50:43+08:00,rmqdashboard,0.13%,522.1MiB / 15.4GiB,3.31%,1.69MB / 918kB,196MB / 191MB,66
2026-06-21T15:50:43+08:00,RPA-prometheus,0.00%,339.3MiB / 15.4GiB,2.15%,281MB / 3.83MB,268MB / 108MB,26
2026-06-21T15:50:43+08:00,RPA-minio,2.25%,149.6MiB / 15.4GiB,0.95%,2.1MB / 1.33MB,185MB / 75.7MB,25
2026-06-21T15:50:43+08:00,rmqnamesrv,0.14%,266.3MiB / 15.4GiB,1.69%,2.59MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:50:43+08:00,RPA-cadvisor,1.70%,283.1MiB / 15.4GiB,1.80%,3.85MB / 281MB,158MB / 20.2MB,28
2026-06-21T15:50:46+08:00,script-k6-run-78ad15ada14f,1.41%,24.73MiB / 15.4GiB,0.16%,83.7kB / 283kB,4.1kB / 0B,25
2026-06-21T15:50:46+08:00,RPA-app,3.16%,15.67MiB / 2GiB,0.77%,22MB / 29.9MB,279kB / 0B,8
2026-06-21T15:50:46+08:00,RPA-pgdb,1.27%,37.26MiB / 15.4GiB,0.24%,6.97MB / 24.4MB,25.3MB / 53.7MB,10
2026-06-21T15:50:46+08:00,RPA-redis,0.43%,18.12MiB / 15.4GiB,0.11%,857kB / 297kB,18.2MB / 659kB,7
2026-06-21T15:50:46+08:00,RPA-grafana,0.15%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:46+08:00,RPA-alloy,1.12%,215.6MiB / 15.4GiB,1.37%,298kB / 2.03MB,590MB / 52.3MB,26
2026-06-21T15:50:46+08:00,RPA-loki,0.40%,140.5MiB / 15.4GiB,0.89%,2.42MB / 692kB,345MB / 38.4MB,25
2026-06-21T15:50:46+08:00,rmqbroker,3.55%,1.269GiB / 15.4GiB,8.25%,1.54MB / 2.76MB,131MB / 350MB,259
2026-06-21T15:50:46+08:00,rmqdashboard,0.07%,522.1MiB / 15.4GiB,3.31%,1.69MB / 918kB,196MB / 191MB,66
2026-06-21T15:50:46+08:00,RPA-prometheus,0.04%,339.3MiB / 15.4GiB,2.15%,281MB / 3.84MB,268MB / 108MB,26
2026-06-21T15:50:46+08:00,RPA-minio,2.58%,148.6MiB / 15.4GiB,0.94%,2.17MB / 1.36MB,185MB / 76MB,25
2026-06-21T15:50:46+08:00,rmqnamesrv,0.12%,266.9MiB / 15.4GiB,1.69%,2.59MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:50:46+08:00,RPA-cadvisor,2.03%,268.6MiB / 15.4GiB,1.70%,3.86MB / 281MB,158MB / 20.2MB,28
