timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:49:08+08:00,RPA-app,0.68%,14.09MiB / 2GiB,0.69%,18.6MB / 26.1MB,279kB / 0B,8
2026-06-21T15:49:08+08:00,RPA-pgdb,0.30%,36.5MiB / 15.4GiB,0.23%,6.52MB / 21.9MB,25.3MB / 51.2MB,10
2026-06-21T15:49:08+08:00,RPA-redis,0.13%,17.62MiB / 15.4GiB,0.11%,719kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:49:08+08:00,RPA-grafana,0.18%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:49:08+08:00,RPA-alloy,0.28%,214.4MiB / 15.4GiB,1.36%,280kB / 1.81MB,590MB / 52MB,26
2026-06-21T15:49:08+08:00,RPA-loki,0.39%,136.6MiB / 15.4GiB,0.87%,2.2MB / 675kB,343MB / 37MB,25
2026-06-21T15:49:08+08:00,rmqbroker,3.88%,1.264GiB / 15.4GiB,8.21%,1.52MB / 2.74MB,125MB / 348MB,259
2026-06-21T15:49:08+08:00,rmqdashboard,0.20%,522.3MiB / 15.4GiB,3.31%,1.68MB / 911kB,196MB / 190MB,66
2026-06-21T15:49:08+08:00,RPA-prometheus,0.00%,374.4MiB / 15.4GiB,2.38%,279MB / 3.8MB,268MB / 108MB,26
2026-06-21T15:49:08+08:00,RPA-minio,0.03%,180.5MiB / 15.4GiB,1.14%,1.92MB / 1.23MB,185MB / 68.5MB,25
2026-06-21T15:49:08+08:00,rmqnamesrv,0.11%,265.1MiB / 15.4GiB,1.68%,2.56MB / 1.94MB,212MB / 264MB,81
2026-06-21T15:49:08+08:00,RPA-cadvisor,6.43%,279.5MiB / 15.4GiB,1.77%,3.82MB / 279MB,158MB / 20.2MB,28
2026-06-21T15:49:08+08:00,script-k6-run-38ba7fc45f54,1.58%,22.69MiB / 15.4GiB,0.14%,237kB / 15.2kB,4.1kB / 0B,24
2026-06-21T15:49:12+08:00,script-k6-run-38ba7fc45f54,1.15%,23.81MiB / 15.4GiB,0.15%,394kB / 30.8kB,4.1kB / 0B,24
2026-06-21T15:49:12+08:00,RPA-app,0.69%,14.21MiB / 2GiB,0.69%,18.9MB / 26.5MB,279kB / 0B,8
2026-06-21T15:49:12+08:00,RPA-pgdb,0.15%,36.57MiB / 15.4GiB,0.23%,6.53MB / 22.2MB,25.3MB / 51.2MB,10
2026-06-21T15:49:12+08:00,RPA-redis,0.12%,17.87MiB / 15.4GiB,0.11%,719kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:49:12+08:00,RPA-grafana,0.17%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:49:12+08:00,RPA-alloy,0.49%,214.9MiB / 15.4GiB,1.36%,281kB / 1.82MB,590MB / 52MB,26
2026-06-21T15:49:12+08:00,RPA-loki,0.70%,137.8MiB / 15.4GiB,0.87%,2.21MB / 676kB,343MB / 37MB,25
2026-06-21T15:49:12+08:00,rmqbroker,3.92%,1.265GiB / 15.4GiB,8.22%,1.52MB / 2.74MB,125MB / 348MB,259
