timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:49:26+08:00,RPA-app,1.45%,14.62MiB / 2GiB,0.71%,19.8MB / 27.5MB,279kB / 0B,8
2026-06-21T15:49:26+08:00,RPA-pgdb,1.13%,37.55MiB / 15.4GiB,0.24%,6.56MB / 23MB,25.3MB / 51.2MB,10
2026-06-21T15:49:26+08:00,RPA-redis,0.12%,17.87MiB / 15.4GiB,0.11%,720kB / 236kB,18.1MB / 569kB,7
2026-06-21T15:49:26+08:00,RPA-grafana,0.15%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:49:26+08:00,RPA-alloy,0.38%,214.6MiB / 15.4GiB,1.36%,283kB / 1.85MB,590MB / 52.1MB,26
2026-06-21T15:49:26+08:00,RPA-loki,0.29%,139MiB / 15.4GiB,0.88%,2.24MB / 678kB,343MB / 37.1MB,25
2026-06-21T15:49:26+08:00,rmqbroker,3.76%,1.264GiB / 15.4GiB,8.21%,1.53MB / 2.74MB,125MB / 348MB,259
2026-06-21T15:49:26+08:00,rmqdashboard,0.07%,522.1MiB / 15.4GiB,3.31%,1.68MB / 912kB,196MB / 191MB,66
2026-06-21T15:49:26+08:00,RPA-prometheus,0.03%,374.4MiB / 15.4GiB,2.38%,279MB / 3.8MB,268MB / 108MB,26
2026-06-21T15:49:26+08:00,RPA-minio,0.07%,180.7MiB / 15.4GiB,1.15%,1.93MB / 1.23MB,185MB / 69.9MB,25
2026-06-21T15:49:26+08:00,rmqnamesrv,0.13%,265.3MiB / 15.4GiB,1.68%,2.57MB / 1.95MB,212MB / 264MB,81
2026-06-21T15:49:26+08:00,RPA-cadvisor,2.61%,236.1MiB / 15.4GiB,1.50%,3.83MB / 279MB,158MB / 20.2MB,28
2026-06-21T15:49:26+08:00,script-k6-run-b5aa0dfc5a5a,1.84%,24.13MiB / 15.4GiB,0.15%,268kB / 20.2kB,4.1kB / 0B,25
2026-06-21T15:49:30+08:00,script-k6-run-b5aa0dfc5a5a,2.07%,24.02MiB / 15.4GiB,0.15%,500kB / 44.3kB,4.1kB / 0B,25
2026-06-21T15:49:30+08:00,RPA-app,0.79%,14.79MiB / 2GiB,0.72%,20.1MB / 27.8MB,279kB / 0B,8
