timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:49:45+08:00,RPA-app,0.41%,13.86MiB / 2GiB,0.68%,20.8MB / 28.7MB,279kB / 0B,8
2026-06-21T15:49:45+08:00,RPA-pgdb,2.07%,36.86MiB / 15.4GiB,0.23%,6.6MB / 23.9MB,25.3MB / 51.2MB,10
2026-06-21T15:49:45+08:00,RPA-redis,0.56%,18.37MiB / 15.4GiB,0.12%,721kB / 237kB,18.1MB / 569kB,7
2026-06-21T15:49:45+08:00,RPA-grafana,0.17%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:49:45+08:00,RPA-alloy,0.59%,214.4MiB / 15.4GiB,1.36%,286kB / 1.88MB,590MB / 52.1MB,26
2026-06-21T15:49:45+08:00,RPA-loki,0.31%,139.1MiB / 15.4GiB,0.88%,2.27MB / 681kB,343MB / 37.3MB,25
2026-06-21T15:49:45+08:00,rmqbroker,3.48%,1.264GiB / 15.4GiB,8.21%,1.53MB / 2.75MB,125MB / 349MB,259
2026-06-21T15:49:45+08:00,rmqdashboard,0.08%,522.3MiB / 15.4GiB,3.31%,1.68MB / 914kB,196MB / 191MB,66
2026-06-21T15:49:45+08:00,RPA-prometheus,6.82%,374.5MiB / 15.4GiB,2.38%,280MB / 3.81MB,268MB / 108MB,26
2026-06-21T15:49:45+08:00,RPA-minio,0.00%,180.5MiB / 15.4GiB,1.14%,1.93MB / 1.23MB,185MB / 70.9MB,25
2026-06-21T15:49:45+08:00,rmqnamesrv,0.11%,265.8MiB / 15.4GiB,1.69%,2.57MB / 1.95MB,212MB / 264MB,81
2026-06-21T15:49:45+08:00,RPA-cadvisor,33.26%,269.9MiB / 15.4GiB,1.71%,3.84MB / 280MB,158MB / 20.2MB,28
2026-06-21T15:49:45+08:00,script-k6-run-4bf6e8cb01dc,1.68%,22.04MiB / 15.4GiB,0.14%,24kB / 11.6kB,4.1kB / 0B,25
2026-06-21T15:49:48+08:00,script-k6-run-4bf6e8cb01dc,1.08%,24.2MiB / 15.4GiB,0.15%,59.4kB / 31.8kB,4.1kB / 0B,25
2026-06-21T15:49:48+08:00,RPA-app,0.60%,15.24MiB / 2GiB,0.74%,20.9MB / 28.7MB,279kB / 0B,8
2026-06-21T15:49:48+08:00,RPA-pgdb,0.08%,37.89MiB / 15.4GiB,0.24%,6.61MB / 23.9MB,25.3MB / 51.2MB,10
2026-06-21T15:49:48+08:00,RPA-redis,0.16%,18.36MiB / 15.4GiB,0.12%,726kB / 239kB,18.1MB / 569kB,7
2026-06-21T15:49:48+08:00,RPA-grafana,0.23%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:49:48+08:00,RPA-alloy,0.42%,214.6MiB / 15.4GiB,1.36%,287kB / 1.89MB,590MB / 52.1MB,26
2026-06-21T15:49:48+08:00,RPA-loki,0.38%,139.1MiB / 15.4GiB,0.88%,2.28MB / 682kB,343MB / 37.3MB,25
2026-06-21T15:49:48+08:00,rmqbroker,3.91%,1.265GiB / 15.4GiB,8.22%,1.53MB / 2.75MB,125MB / 349MB,259
2026-06-21T15:49:48+08:00,rmqdashboard,0.13%,522.5MiB / 15.4GiB,3.31%,1.68MB / 914kB,196MB / 191MB,66
2026-06-21T15:49:48+08:00,RPA-prometheus,0.00%,374.5MiB / 15.4GiB,2.38%,280MB / 3.81MB,268MB / 108MB,26
2026-06-21T15:49:48+08:00,RPA-minio,0.00%,180.5MiB / 15.4GiB,1.14%,1.93MB / 1.23MB,185MB / 70.9MB,25
2026-06-21T15:49:48+08:00,rmqnamesrv,0.18%,267.1MiB / 15.4GiB,1.69%,2.58MB / 1.95MB,212MB / 264MB,81
2026-06-21T15:49:48+08:00,RPA-cadvisor,1.89%,272.6MiB / 15.4GiB,1.73%,3.84MB / 280MB,158MB / 20.2MB,28
2026-06-21T15:49:51+08:00,script-k6-run-4bf6e8cb01dc,1.09%,24.79MiB / 15.4GiB,0.16%,81.1kB / 47.8kB,4.1kB / 0B,25
2026-06-21T15:49:51+08:00,RPA-app,0.65%,14.29MiB / 2GiB,0.70%,20.9MB / 28.8MB,279kB / 0B,8
2026-06-21T15:49:51+08:00,RPA-pgdb,0.08%,37.39MiB / 15.4GiB,0.24%,6.61MB / 23.9MB,25.3MB / 51.2MB,10
2026-06-21T15:49:51+08:00,RPA-redis,0.17%,18.37MiB / 15.4GiB,0.12%,730kB / 242kB,18.1MB / 569kB,7
2026-06-21T15:49:51+08:00,RPA-grafana,0.14%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
