timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:50:19+08:00,RPA-app,0.58%,14.42MiB / 2GiB,0.70%,21.2MB / 29.1MB,279kB / 0B,8
2026-06-21T15:50:19+08:00,RPA-pgdb,2.10%,38MiB / 15.4GiB,0.24%,6.65MB / 24MB,25.3MB / 51.2MB,10
2026-06-21T15:50:19+08:00,RPA-redis,0.54%,18.49MiB / 15.4GiB,0.12%,761kB / 258kB,18.1MB / 569kB,7
2026-06-21T15:50:19+08:00,RPA-grafana,0.14%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:19+08:00,RPA-alloy,0.80%,216.6MiB / 15.4GiB,1.37%,293kB / 1.95MB,590MB / 52.2MB,26
2026-06-21T15:50:19+08:00,RPA-loki,0.39%,140.8MiB / 15.4GiB,0.89%,2.34MB / 688kB,345MB / 38.3MB,25
2026-06-21T15:50:19+08:00,rmqbroker,3.75%,1.269GiB / 15.4GiB,8.25%,1.53MB / 2.76MB,131MB / 349MB,259
2026-06-21T15:50:19+08:00,rmqdashboard,0.16%,522.5MiB / 15.4GiB,3.31%,1.69MB / 916kB,196MB / 191MB,66
2026-06-21T15:50:19+08:00,RPA-prometheus,0.00%,339.3MiB / 15.4GiB,2.15%,281MB / 3.82MB,268MB / 108MB,26
2026-06-21T15:50:19+08:00,RPA-minio,0.00%,146.1MiB / 15.4GiB,0.93%,1.93MB / 1.23MB,185MB / 73.6MB,25
2026-06-21T15:50:19+08:00,rmqnamesrv,0.20%,266.6MiB / 15.4GiB,1.69%,2.58MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:50:19+08:00,RPA-cadvisor,3.00%,268.2MiB / 15.4GiB,1.70%,3.85MB / 280MB,158MB / 20.2MB,28
2026-06-21T15:50:19+08:00,script-k6-run-97d6ef9dfe22,1.52%,22.75MiB / 15.4GiB,0.14%,26.7kB / 13.3kB,4.1kB / 0B,25
2026-06-21T15:50:23+08:00,script-k6-run-97d6ef9dfe22,1.16%,23.21MiB / 15.4GiB,0.15%,61.6kB / 32.7kB,4.1kB / 0B,25
2026-06-21T15:50:23+08:00,RPA-app,0.67%,14.28MiB / 2GiB,0.70%,21.2MB / 29.1MB,279kB / 0B,8
2026-06-21T15:50:23+08:00,RPA-pgdb,0.08%,37.39MiB / 15.4GiB,0.24%,6.65MB / 24.1MB,25.3MB / 51.2MB,10
2026-06-21T15:50:23+08:00,RPA-redis,0.16%,18.36MiB / 15.4GiB,0.12%,766kB / 260kB,18.1MB / 569kB,7
2026-06-21T15:50:23+08:00,RPA-grafana,0.17%,116.7MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:23+08:00,RPA-alloy,0.44%,215.8MiB / 15.4GiB,1.37%,294kB / 1.96MB,590MB / 52.2MB,26
2026-06-21T15:50:23+08:00,RPA-loki,0.40%,141.8MiB / 15.4GiB,0.90%,2.35MB / 689kB,345MB / 38.3MB,25
2026-06-21T15:50:23+08:00,rmqbroker,3.82%,1.27GiB / 15.4GiB,8.25%,1.53MB / 2.76MB,131MB / 350MB,259
2026-06-21T15:50:23+08:00,rmqdashboard,0.12%,522.5MiB / 15.4GiB,3.31%,1.69MB / 916kB,196MB / 191MB,66
2026-06-21T15:50:23+08:00,RPA-prometheus,0.00%,339.3MiB / 15.4GiB,2.15%,281MB / 3.82MB,268MB / 108MB,26
2026-06-21T15:50:23+08:00,RPA-minio,0.00%,146.1MiB / 15.4GiB,0.93%,1.93MB / 1.23MB,185MB / 73.6MB,25
2026-06-21T15:50:23+08:00,rmqnamesrv,0.12%,265.9MiB / 15.4GiB,1.69%,2.58MB / 1.96MB,213MB / 264MB,81
2026-06-21T15:50:23+08:00,RPA-cadvisor,2.17%,278.4MiB / 15.4GiB,1.77%,3.85MB / 280MB,158MB / 20.2MB,28
2026-06-21T15:50:26+08:00,script-k6-run-97d6ef9dfe22,1.05%,23.61MiB / 15.4GiB,0.15%,92.9kB / 54.7kB,4.1kB / 0B,25
2026-06-21T15:50:26+08:00,RPA-app,0.68%,14.57MiB / 2GiB,0.71%,21.3MB / 29.2MB,279kB / 0B,8
2026-06-21T15:50:26+08:00,RPA-pgdb,0.08%,36.9MiB / 15.4GiB,0.23%,6.66MB / 24.1MB,25.3MB / 51.2MB,10
2026-06-21T15:50:26+08:00,RPA-redis,0.16%,18.36MiB / 15.4GiB,0.12%,769kB / 262kB,18.1MB / 569kB,7
2026-06-21T15:50:26+08:00,RPA-grafana,0.20%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:26+08:00,RPA-alloy,0.42%,216.1MiB / 15.4GiB,1.37%,294kB / 1.96MB,590MB / 52.2MB,26
2026-06-21T15:50:26+08:00,RPA-loki,0.26%,140.5MiB / 15.4GiB,0.89%,2.36MB / 689kB,345MB / 38.3MB,25
2026-06-21T15:50:26+08:00,rmqbroker,3.81%,1.27GiB / 15.4GiB,8.25%,1.53MB / 2.76MB,131MB / 350MB,259
2026-06-21T15:50:26+08:00,rmqdashboard,0.06%,522.3MiB / 15.4GiB,3.31%,1.69MB / 916kB,196MB / 191MB,66
2026-06-21T15:50:26+08:00,RPA-prometheus,0.04%,339.3MiB / 15.4GiB,2.15%,281MB / 3.82MB,268MB / 108MB,26
2026-06-21T15:50:26+08:00,RPA-minio,0.10%,146.3MiB / 15.4GiB,0.93%,1.93MB / 1.23MB,185MB / 74.1MB,25
