timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:50:02+08:00,RPA-app,0.28%,14.62MiB / 2GiB,0.71%,21MB / 28.9MB,279kB / 0B,8
2026-06-21T15:50:02+08:00,RPA-pgdb,0.44%,37.54MiB / 15.4GiB,0.24%,6.62MB / 23.9MB,25.3MB / 51.2MB,10
2026-06-21T15:50:02+08:00,RPA-redis,0.14%,17.86MiB / 15.4GiB,0.11%,740kB / 247kB,18.1MB / 569kB,7
2026-06-21T15:50:02+08:00,RPA-grafana,0.14%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:02+08:00,RPA-alloy,0.21%,214.4MiB / 15.4GiB,1.36%,290kB / 1.91MB,590MB / 52.2MB,26
2026-06-21T15:50:02+08:00,RPA-loki,0.27%,140.3MiB / 15.4GiB,0.89%,2.31MB / 685kB,345MB / 38.1MB,25
2026-06-21T15:50:02+08:00,rmqbroker,3.78%,1.265GiB / 15.4GiB,8.21%,1.53MB / 2.75MB,125MB / 349MB,259
2026-06-21T15:50:02+08:00,rmqdashboard,0.07%,522.3MiB / 15.4GiB,3.31%,1.69MB / 916kB,196MB / 191MB,66
2026-06-21T15:50:02+08:00,RPA-prometheus,0.00%,339.3MiB / 15.4GiB,2.15%,280MB / 3.82MB,268MB / 108MB,26
2026-06-21T15:50:02+08:00,RPA-minio,0.03%,180.5MiB / 15.4GiB,1.14%,1.93MB / 1.23MB,185MB / 72.6MB,25
2026-06-21T15:50:02+08:00,rmqnamesrv,0.12%,265.7MiB / 15.4GiB,1.69%,2.58MB / 1.95MB,213MB / 264MB,81
2026-06-21T15:50:02+08:00,RPA-cadvisor,6.61%,275.6MiB / 15.4GiB,1.75%,3.84MB / 280MB,158MB / 20.2MB,28
2026-06-21T15:50:02+08:00,script-k6-run-07ddf09c3de2,1.80%,23.17MiB / 15.4GiB,0.15%,22.4kB / 10.8kB,4.1kB / 0B,25
2026-06-21T15:50:06+08:00,script-k6-run-07ddf09c3de2,1.21%,23.71MiB / 15.4GiB,0.15%,58.2kB / 31.3kB,4.1kB / 0B,25
2026-06-21T15:50:06+08:00,RPA-app,0.64%,14.03MiB / 2GiB,0.69%,21MB / 28.9MB,279kB / 0B,8
2026-06-21T15:50:06+08:00,RPA-pgdb,0.09%,37.14MiB / 15.4GiB,0.24%,6.63MB / 24MB,25.3MB / 51.2MB,10
2026-06-21T15:50:06+08:00,RPA-redis,0.15%,17.88MiB / 15.4GiB,0.11%,746kB / 250kB,18.1MB / 569kB,7
2026-06-21T15:50:06+08:00,RPA-grafana,0.16%,116.8MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:06+08:00,RPA-alloy,0.47%,214.9MiB / 15.4GiB,1.36%,290kB / 1.92MB,590MB / 52.2MB,26
2026-06-21T15:50:06+08:00,RPA-loki,0.30%,140.3MiB / 15.4GiB,0.89%,2.32MB / 686kB,345MB / 38.1MB,25
2026-06-21T15:50:06+08:00,rmqbroker,3.70%,1.264GiB / 15.4GiB,8.21%,1.53MB / 2.75MB,125MB / 349MB,259
2026-06-21T15:50:06+08:00,rmqdashboard,0.08%,522.3MiB / 15.4GiB,3.31%,1.69MB / 916kB,196MB / 191MB,66
2026-06-21T15:50:06+08:00,RPA-prometheus,0.03%,339.3MiB / 15.4GiB,2.15%,280MB / 3.82MB,268MB / 108MB,26
2026-06-21T15:50:06+08:00,RPA-minio,0.02%,146.1MiB / 15.4GiB,0.93%,1.93MB / 1.23MB,185MB / 72.6MB,25
2026-06-21T15:50:06+08:00,rmqnamesrv,0.11%,266MiB / 15.4GiB,1.69%,2.58MB / 1.95MB,213MB / 264MB,81
2026-06-21T15:50:06+08:00,RPA-cadvisor,1.60%,275.6MiB / 15.4GiB,1.75%,3.84MB / 280MB,158MB / 20.2MB,28
2026-06-21T15:50:09+08:00,script-k6-run-07ddf09c3de2,1.26%,24.54MiB / 15.4GiB,0.16%,80.6kB / 47.5kB,4.1kB / 0B,25
2026-06-21T15:50:09+08:00,RPA-app,0.63%,13.79MiB / 2GiB,0.67%,21.1MB / 29MB,279kB / 0B,8
2026-06-21T15:50:09+08:00,RPA-pgdb,2.01%,38.62MiB / 15.4GiB,0.24%,6.64MB / 24MB,25.3MB / 51.2MB,10
2026-06-21T15:50:09+08:00,RPA-redis,0.50%,19.1MiB / 15.4GiB,0.12%,750kB / 252kB,18.1MB / 569kB,7
2026-06-21T15:50:09+08:00,RPA-grafana,0.38%,117.2MiB / 15.4GiB,0.74%,23.6MB / 271kB,464MB / 111MB,25
2026-06-21T15:50:09+08:00,RPA-alloy,1.02%,217.9MiB / 15.4GiB,1.38%,291kB / 1.93MB,590MB / 52.2MB,26
2026-06-21T15:50:09+08:00,RPA-loki,0.45%,140.8MiB / 15.4GiB,0.89%,2.32MB / 686kB,345MB / 38.1MB,25
2026-06-21T15:50:09+08:00,rmqbroker,3.78%,1.265GiB / 15.4GiB,8.22%,1.53MB / 2.76MB,125MB / 349MB,259
2026-06-21T15:50:09+08:00,rmqdashboard,0.09%,522.3MiB / 15.4GiB,3.31%,1.69MB / 916kB,196MB / 191MB,66
2026-06-21T15:50:09+08:00,RPA-prometheus,0.00%,339.3MiB / 15.4GiB,2.15%,280MB / 3.82MB,268MB / 108MB,26
2026-06-21T15:50:09+08:00,RPA-minio,0.00%,146.1MiB / 15.4GiB,0.93%,1.93MB / 1.23MB,185MB / 72.6MB,25
2026-06-21T15:50:09+08:00,rmqnamesrv,0.21%,266.3MiB / 15.4GiB,1.69%,2.58MB / 1.95MB,213MB / 264MB,81
2026-06-21T15:50:09+08:00,RPA-cadvisor,1.93%,233.4MiB / 15.4GiB,1.48%,3.84MB / 280MB,158MB / 20.2MB,28
2026-06-21T15:50:12+08:00,script-k6-run-07ddf09c3de2,1.25%,24.84MiB / 15.4GiB,0.16%,122kB / 75.4kB,4.1kB / 0B,25
2026-06-21T15:50:12+08:00,RPA-app,0.58%,14.53MiB / 2GiB,0.71%,21.1MB / 29MB,279kB / 0B,8
2026-06-21T15:50:12+08:00,RPA-pgdb,0.08%,36.89MiB / 15.4GiB,0.23%,6.64MB / 24MB,25.3MB / 51.2MB,10
2026-06-21T15:50:12+08:00,RPA-redis,0.14%,18.11MiB / 15.4GiB,0.11%,753kB / 254kB,18.1MB / 569kB,7
