timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:45:35+08:00,RPA-pgdb,0.79%,35.71MiB / 15.4GiB,0.23%,4.14MB / 5.27MB,25.3MB / 36.4MB,10
2026-06-21T15:45:35+08:00,RPA-redis,0.16%,17.87MiB / 15.4GiB,0.11%,691kB / 230kB,18MB / 492kB,7
2026-06-21T15:45:35+08:00,RPA-grafana,0.12%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:45:35+08:00,RPA-alloy,0.14%,205.1MiB / 15.4GiB,1.30%,244kB / 1.42MB,584MB / 50.9MB,26
2026-06-21T15:45:35+08:00,RPA-loki,0.26%,130.8MiB / 15.4GiB,0.83%,1.79MB / 636kB,332MB / 35.2MB,25
2026-06-21T15:45:35+08:00,rmqbroker,3.65%,1.283GiB / 15.4GiB,8.33%,1.49MB / 2.69MB,125MB / 341MB,259
2026-06-21T15:45:35+08:00,rmqdashboard,0.06%,534MiB / 15.4GiB,3.39%,1.64MB / 897kB,193MB / 179MB,66
2026-06-21T15:45:35+08:00,RPA-prometheus,0.53%,365.8MiB / 15.4GiB,2.32%,274MB / 3.72MB,268MB / 107MB,26
2026-06-21T15:45:35+08:00,RPA-minio,0.11%,158.7MiB / 15.4GiB,1.01%,1.38MB / 881kB,184MB / 50.3MB,25
2026-06-21T15:45:35+08:00,rmqnamesrv,0.11%,266.3MiB / 15.4GiB,1.69%,2.52MB / 1.91MB,211MB / 260MB,81
2026-06-21T15:45:35+08:00,RPA-cadvisor,1.99%,270.7MiB / 15.4GiB,1.72%,3.75MB / 274MB,158MB / 20.2MB,28
2026-06-21T15:45:35+08:00,RPA-app,0.04%,71.39MiB / 2GiB,3.49%,14.1kB / 12.8kB,0B / 0B,7
